Subordinate,Priming,Predict,Right
Kitchen table is a type of ,,Furniture.,0
Kitchen table is a type of ,Furniture. ,Furniture.,1
Knee socks is a type of ,Musical Instrument. ,Clothing.,-1
Knee socks is a type of ,,Clothing.,0
Knee socks is a type of ,Clothing. ,Clothing.,1
Knit shirt is a type of ,Bird. ,Clothing.,-1
Knit shirt is a type of ,,Clothing.,0
Knit shirt is a type of ,Clothing. ,Clothing.,1
Levis is a type of ,Tree. ,Clothing.,-1
Levis is a type of ,,Clothing.,0
Levis is a type of ,Clothing. ,Clothing.,1
Living room chair is a type of ,Bird. ,Furniture.,-1
Living room chair is a type of ,,Furniture.,0
Living room chair is a type of ,Furniture. ,Furniture.,1
Mackintosh apple is a type of ,Bird. ,Fruit.,-1
Mackintosh apple is a type of ,,Fruit.,0
Mackintosh apple is a type of ,Fruit. ,Fruit.,1
Phillips screwdriver is a type of ,Fruit. ,Tool.,-1
Phillips screwdriver is a type of ,,Tool.,0
Phillips screwdriver is a type of ,Tool. ,Tool.,1
Pick up truck is a type of ,Fruit. ,Vehicle.,-1
Pick up truck is a type of ,,Vehicle.,0
Pick up truck is a type of ,Vehicle. ,Vehicle.,1
Rainbow trout is a type of ,Tree. ,Fish.,-1
Rainbow trout is a type of ,,Fish.,0
Rainbow trout is a type of ,Fish. ,Fish.,1
Red oak is a type of ,Clothing. ,Tree.,-1
Red oak is a type of ,,Tree.,0
Red oak is a type of ,Tree. ,Tree.,1
Regular screwdriver is a type of ,Tree. ,Tool.,-1
Regular screwdriver is a type of ,,Tool.,0
Regular screwdriver is a type of ,Tool. ,Tool.,1
River birch is a type of ,Musical Instrument. ,Tree.,-1
River birch is a type of ,,Tree.,0
River birch is a type of ,Tree. ,Tree.,1
Sea bass is a type of ,Vehicle. ,Fish.,-1
Sea bass is a type of ,,Fish.,0
Sea bass is a type of ,Fish. ,Fish.,1
Silver maple is a type of ,Tool. ,Tree.,-1
Silver maple is a type of ,,Tree.,0
Silver maple is a type of ,Tree. ,Tree.,1
Song sparrow is a type of ,Fruit. ,Bird.,-1
Song sparrow is a type of ,,Bird.,0
Song sparrow is a type of ,Bird. ,Bird.,1
Sports car is a type of ,Tree. ,Vehicle.,-1
Sports car is a type of ,,Vehicle.,0
Sports car is a type of ,Vehicle. ,Vehicle.,1
Steelhead trout is a type of ,Tree. ,Fish.,-1
Steelhead trout is a type of ,,Fish.,0
Steelhead trout is a type of ,Fish. ,Fish.,1
Striped bass is a type of ,Musical Instrument. ,Fish.,-1
Striped bass is a type of ,,Fish.,0
Striped bass is a type of ,Fish. ,Fish.,1
Sugar maple is a type of ,Furniture. ,Tree.,-1
Sugar maple is a type of ,,Tree.,0
Sugar maple is a type of ,Tree. ,Tree.,1
Tractor-trailer truck is a type of ,Furniture. ,Vehicle.,-1
Tractor-trailer truck is a type of ,,Vehicle.,0
Tractor-trailer truck is a type of ,Vehicle. ,Vehicle.,1
Upright piano is a type of ,Clothing. ,Musical Instrument.,-1
Upright piano is a type of ,,Musical Instrument.,0
Upright piano is a type of ,Musical Instrument. ,Musical Instrument.,1
White birch is a type of ,Tool. ,Tree.,-1
White birch is a type of ,,Tree.,0
White birch is a type of ,Tree. ,Tree.,1
White oak is a type of ,Clothing. ,Tree.,-1
White oak is a type of ,,Tree.,0
White oak is a type of ,Tree. ,Tree.,1
