preamble,stimulus,item,category,rank,"score (sum, mean, [list)",params,model
A teddy bear is a,toy.,teddy bear,toy,11,"[(-2.424166679382324, -1.212083339691162, [-2.2829580307006836, -0.14120864868164062]), (-5.384830474853516, -2.692415237426758, [-4.859519004821777, -0.5253114700317383]), (-2.0821380615234375, -1.0410690307617188, [-1.941946029663086, -0.14019203186035156]), (-3.9787940979003906, -1.9893970489501953, [-3.8882274627685547, -0.09056663513183594]), (-4.93998908996582, -2.46999454498291, [-4.765466690063477, -0.17452239990234375])]",124697433,roberta-base
A rocking horse is a,toy.,rocking horse,toy,12,"[(-8.449525356292725, -4.224762678146362, [-7.996341228485107, -0.4531841278076172]), (-6.559905052185059, -3.2799525260925293, [-6.196658134460449, -0.3632469177246094]), (-5.331939697265625, -2.6659698486328125, [-5.275724411010742, -0.05621528625488281]), (-6.200481414794922, -3.100240707397461, [-5.996376037597656, -0.20410537719726562]), (-8.194844245910645, -4.097422122955322, [-5.647359848022461, -2.5474843978881836])]",124697433,roberta-base
A doll house is a,toy.,doll house,toy,13,"[(-5.542794227600098, -2.771397113800049, [-3.498745918273926, -2.044048309326172]), (-3.9576148986816406, -1.9788074493408203, [-2.53726863861084, -1.4203462600708008]), (-4.400156021118164, -2.200078010559082, [-4.046426773071289, -0.353729248046875]), (-4.535667419433594, -2.267833709716797, [-4.446094512939453, -0.08957290649414062]), (-5.470036506652832, -2.735018253326416, [-4.111083030700684, -1.3589534759521484])]",124697433,roberta-base
A ball is a,toy.,ball,toy,14,"[(-6.943415641784668, -3.471707820892334, [-6.91068172454834, -0.032733917236328125]), (-7.639125823974609, -3.8195629119873047, [-7.504848480224609, -0.13427734375]), (-6.965481758117676, -3.482740879058838, [-6.885375022888184, -0.08010673522949219]), (-7.3057966232299805, -3.6528983116149902, [-7.224106788635254, -0.08168983459472656]), (-7.247159957885742, -3.623579978942871, [-7.090982437133789, -0.15617752075195312])]",124697433,roberta-base
Jacks are,toys.,jacks,toy,15,"[(-11.4857759475708, -5.7428879737854, [-11.288041114807129, -0.19773483276367188]), (-8.242311477661133, -4.121155738830566, [-8.163887023925781, -0.07842445373535156]), (-7.629996299743652, -3.814998149871826, [-7.56008243560791, -0.06991386413574219]), (-9.515230178833008, -4.757615089416504, [-9.370311737060547, -0.14491844177246094]), (-7.741438865661621, -3.8707194328308105, [-7.408751487731934, -0.3326873779296875])]",124697433,roberta-base
Paper dolls are,toys.,paper dolls,toy,16,"[(-5.110589981079102, -2.555294990539551, [-4.637733459472656, -0.4728565216064453]), (-4.212563514709473, -2.1062817573547363, [-4.1486101150512695, -0.06395339965820312]), (-5.66774845123291, -2.833874225616455, [-5.446320533752441, -0.22142791748046875]), (-5.575264930725098, -2.787632465362549, [-5.386466026306152, -0.1887989044189453]), (-4.672989845275879, -2.3364949226379395, [-4.534096717834473, -0.13889312744140625])]",124697433,roberta-base
An erector set is a,toy.,erector set,toy,17,"[(-4.742456436157227, -2.3712282180786133, [-4.508247375488281, -0.2342090606689453]), (-5.266618728637695, -2.6333093643188477, [-5.1089935302734375, -0.1576251983642578]), (-5.384642601013184, -2.692321300506592, [-5.277800559997559, -0.106842041015625]), (-4.458080291748047, -2.2290401458740234, [-4.281097412109375, -0.17698287963867188]), (-4.663446426391602, -2.331723213195801, [-4.607942581176758, -0.05550384521484375])]",124697433,roberta-base
A hula hoop is a,toy.,hula hoop,toy,18,"[(-4.87725830078125, -2.438629150390625, [-4.777631759643555, -0.09962654113769531]), (-5.735384941101074, -2.867692470550537, [-5.356032371520996, -0.3793525695800781]), (-5.003853797912598, -2.501926898956299, [-4.783160209655762, -0.22069358825683594]), (-6.070670127868652, -3.035335063934326, [-5.93465518951416, -0.1360149383544922]), (-3.697509765625, -1.8487548828125, [-3.616649627685547, -0.08086013793945312])]",124697433,roberta-base
A jump rope is a,toy.,jump rope,toy,19,"[(-6.069273948669434, -3.034636974334717, [-5.987290382385254, -0.08198356628417969]), (-6.125973701477051, -3.0629868507385254, [-6.004075050354004, -0.12189865112304688]), (-5.821183204650879, -2.9105916023254395, [-5.779910087585449, -0.04127311706542969]), (-5.736666679382324, -2.868333339691162, [-5.451176643371582, -0.2854900360107422]), (-5.358346939086914, -2.679173469543457, [-5.291919708251953, -0.06642723083496094])]",124697433,roberta-base
A pogo stick is a,toy.,pogo stick,toy,20,"[(-3.739818572998047, -1.8699092864990234, [-3.5886383056640625, -0.15118026733398438]), (-3.928121566772461, -1.9640607833862305, [-3.8041915893554688, -0.12392997741699219]), (-4.539494514465332, -2.269747257232666, [-4.4684953689575195, -0.0709991455078125]), (-3.123246192932129, -1.5616230964660645, [-2.994748115539551, -0.12849807739257812]), (-3.920543670654297, -1.9602718353271484, [-3.724489212036133, -0.19605445861816406])]",124697433,roberta-base
A clay is a,toy.,clay,toy,21,"[(-6.981772422790527, -3.4908862113952637, [-6.913117408752441, -0.06865501403808594]), (-6.908561706542969, -3.4542808532714844, [-6.756093978881836, -0.1524677276611328]), (-8.004602909088135, -4.002301454544067, [-7.9248223304748535, -0.07978057861328125]), (-6.4843549728393555, -3.2421774864196777, [-6.413558006286621, -0.07079696655273438]), (-7.562242031097412, -3.781121015548706, [-7.478007793426514, -0.08423423767089844])]",124697433,roberta-base
A wagon is a,toy.,wagon,toy,22,"[(-8.017260551452637, -4.008630275726318, [-7.882622718811035, -0.13463783264160156]), (-7.9073076248168945, -3.9536538124084473, [-7.834834098815918, -0.07247352600097656]), (-7.1464128494262695, -3.5732064247131348, [-6.766627311706543, -0.37978553771972656]), (-6.46893310546875, -3.234466552734375, [-6.367088317871094, -0.10184478759765625]), (-5.423730850219727, -2.7118654251098633, [-5.254432678222656, -0.1692981719970703])]",124697433,roberta-base
A kite is a,toy.,kite,toy,23,"[(-6.139984130859375, -3.0699920654296875, [-6.0798187255859375, -0.0601654052734375]), (-5.902749061584473, -2.9513745307922363, [-5.652161598205566, -0.25058746337890625]), (-4.284424781799316, -2.142212390899658, [-4.125100135803223, -0.15932464599609375]), (-7.4814863204956055, -3.7407431602478027, [-7.1551713943481445, -0.32631492614746094]), (-5.677621841430664, -2.838810920715332, [-5.543500900268555, -0.13412094116210938])]",124697433,roberta-base
A train is a,toy.,train,toy,24,"[(-8.109160423278809, -4.054580211639404, [-8.050572395324707, -0.05858802795410156]), (-6.556125640869141, -3.2780628204345703, [-6.479070663452148, -0.07705497741699219]), (-7.336030006408691, -3.6680150032043457, [-7.256417274475098, -0.07961273193359375]), (-8.229052543640137, -4.114526271820068, [-8.1681489944458, -0.06090354919433594]), (-8.419062614440918, -4.209531307220459, [-8.258564949035645, -0.16049766540527344])]",124697433,roberta-base
A tricycle is a,toy.,tricycle,toy,25,"[(-5.574885368347168, -2.787442684173584, [-5.11160945892334, -0.4632759094238281]), (-6.345458030700684, -3.172729015350342, [-6.291481971740723, -0.05397605895996094]), (-4.218117713928223, -2.1090588569641113, [-4.1855363845825195, -0.032581329345703125]), (-5.809856414794922, -2.904928207397461, [-5.758365631103516, -0.05149078369140625]), (-5.283783912658691, -2.6418919563293457, [-5.1004228591918945, -0.18336105346679688])]",124697433,roberta-base
A coloring book is a,toy.,coloring book,toy,26,"[(-5.527952194213867, -2.7639760971069336, [-5.470396041870117, -0.05755615234375]), (-7.636043548583984, -3.818021774291992, [-7.493452072143555, -0.1425914764404297]), (-4.300524711608887, -2.1502623558044434, [-4.23690128326416, -0.06362342834472656]), (-3.8555240631103516, -1.9277620315551758, [-3.7428417205810547, -0.11268234252929688]), (-4.198223114013672, -2.099111557006836, [-4.0956573486328125, -0.10256576538085938])]",124697433,roberta-base
Crayons are,toys.,crayons,toy,27,"[(-11.23762321472168, -5.61881160736084, [-10.923385620117188, -0.3142375946044922]), (-5.348641395568848, -2.674320697784424, [-5.218064308166504, -0.13057708740234375]), (-12.826028823852539, -6.4130144119262695, [-12.737934112548828, -0.08809471130371094]), (-7.173840045928955, -3.5869200229644775, [-7.042513370513916, -0.13132667541503906]), (-9.152019500732422, -4.576009750366211, [-8.864952087402344, -0.2870674133300781])]",124697433,roberta-base
A truck is a,toy.,truck,toy,28,"[(-6.247089385986328, -3.123544692993164, [-6.0438690185546875, -0.20322036743164062]), (-6.52392578125, -3.261962890625, [-6.368951797485352, -0.15497398376464844]), (-3.7028446197509766, -1.8514223098754883, [-3.6527881622314453, -0.05005645751953125]), (-6.430909156799316, -3.215454578399658, [-6.332024574279785, -0.09888458251953125]), (-6.316900253295898, -3.158450126647949, [-6.136907577514648, -0.17999267578125])]",124697433,roberta-base
A puzzle is a,toy.,puzzle,toy,29,"[(-7.980948448181152, -3.990474224090576, [-7.800692558288574, -0.18025588989257812]), (-8.840291023254395, -4.420145511627197, [-8.792338371276855, -0.04795265197753906]), (-5.783658027648926, -2.891829013824463, [-5.745863914489746, -0.03779411315917969]), (-5.659357070922852, -2.829678535461426, [-5.595163345336914, -0.0641937255859375]), (-6.583230972290039, -3.2916154861450195, [-6.422792434692383, -0.16043853759765625])]",124697433,roberta-base
A fire engine is a,toy.,fire engine,toy,30,"[(-4.888321876525879, -2.4441609382629395, [-4.701323509216309, -0.1869983673095703]), (-7.58316707611084, -3.79158353805542, [-6.756533622741699, -0.8266334533691406]), (-4.4782209396362305, -2.2391104698181152, [-4.0894975662231445, -0.38872337341308594]), (-5.274310111999512, -2.637155055999756, [-5.024130821228027, -0.2501792907714844]), (-5.172208786010742, -2.586104393005371, [-4.796018600463867, -0.376190185546875])]",124697433,roberta-base
A balloon is a,toy.,balloon,toy,31,"[(-4.914189338684082, -2.457094669342041, [-4.846158027648926, -0.06803131103515625]), (-6.213498115539551, -3.1067490577697754, [-6.121981620788574, -0.09151649475097656]), (-6.757205009460449, -3.3786025047302246, [-6.69870662689209, -0.058498382568359375]), (-8.99989128112793, -4.499945640563965, [-8.943647384643555, -0.056243896484375]), (-6.800610542297363, -3.4003052711486816, [-6.700875282287598, -0.09973526000976562])]",124697433,roberta-base
Skates are,toys.,skates,toy,32,"[(-9.58084774017334, -4.79042387008667, [-9.440818786621094, -0.1400289535522461]), (-8.914329528808594, -4.457164764404297, [-8.66091537475586, -0.2534141540527344]), (-7.081440448760986, -3.540720224380493, [-6.985464572906494, -0.09597587585449219]), (-10.624719619750977, -5.312359809875488, [-10.554670333862305, -0.07004928588867188]), (-8.865047454833984, -4.432523727416992, [-8.579805374145508, -0.28524208068847656])]",124697433,roberta-base
A baseball is a,toy.,baseball,toy,33,"[(-3.806041717529297, -1.9030208587646484, [-3.7545013427734375, -0.051540374755859375]), (-6.485647201538086, -3.242823600769043, [-6.426933288574219, -0.05871391296386719]), (-5.2442474365234375, -2.6221237182617188, [-5.201345443725586, -0.04290199279785156]), (-10.247331619262695, -5.123665809631348, [-10.075902938842773, -0.17142868041992188]), (-8.54049015045166, -4.27024507522583, [-8.317608833312988, -0.22288131713867188])]",124697433,roberta-base
A drum is a,toy.,drum,toy,34,"[(-5.8194475173950195, -2.9097237586975098, [-5.733702659606934, -0.08574485778808594]), (-5.697919845581055, -2.8489599227905273, [-5.491941452026367, -0.2059783935546875]), (-4.895237922668457, -2.4476189613342285, [-4.827496528625488, -0.06774139404296875]), (-5.929909706115723, -2.9649548530578613, [-5.693280220031738, -0.23662948608398438]), (-5.776148796081543, -2.8880743980407715, [-5.574034690856934, -0.20211410522460938])]",124697433,roberta-base
A football is a,toy.,football,toy,35,"[(-6.493383407592773, -3.2466917037963867, [-6.405485153198242, -0.08789825439453125]), (-7.6429948806762695, -3.8214974403381348, [-7.586583137512207, -0.0564117431640625]), (-6.509765625, -3.2548828125, [-6.313909530639648, -0.19585609436035156]), (-5.797721862792969, -2.8988609313964844, [-5.761316299438477, -0.03640556335449219]), (-8.644827842712402, -4.322413921356201, [-8.575779914855957, -0.06904792785644531])]",124697433,roberta-base
A game is a,toy.,game,toy,36,"[(-13.15229606628418, -6.57614803314209, [-13.043695449829102, -0.10860061645507812]), (-10.144149780273438, -5.072074890136719, [-9.944377899169922, -0.19977188110351562]), (-11.46148681640625, -5.730743408203125, [-11.414852142333984, -0.046634674072265625]), (-6.799966812133789, -3.3999834060668945, [-6.737981796264648, -0.061985015869140625]), (-7.980377197265625, -3.9901885986328125, [-7.907400131225586, -0.07297706604003906])]",124697433,roberta-base
A swing is a,toy.,swing,toy,37,"[(-13.674605369567871, -6.8373026847839355, [-13.598736763000488, -0.07586860656738281]), (-9.901335716247559, -4.950667858123779, [-9.857853889465332, -0.04348182678222656]), (-8.903301239013672, -4.451650619506836, [-8.716947555541992, -0.1863536834716797]), (-12.988733291625977, -6.494366645812988, [-12.850366592407227, -0.13836669921875]), (-9.959503173828125, -4.9797515869140625, [-9.822126388549805, -0.1373767852783203])]",124697433,roberta-base
A boat is a,toy.,boat,toy,38,"[(-8.674357414245605, -4.337178707122803, [-8.100890159606934, -0.5734672546386719]), (-8.315977096557617, -4.157988548278809, [-8.136880874633789, -0.17909622192382812]), (-7.197976112365723, -3.5989880561828613, [-7.018702507019043, -0.1792736053466797]), (-7.723060607910156, -3.861530303955078, [-7.222349166870117, -0.5007114410400391]), (-7.393165588378906, -3.696582794189453, [-7.265193939208984, -0.12797164916992188])]",124697433,roberta-base
A monopoly is a,toy.,monopoly,toy,39,"[(-10.759662628173828, -5.379831314086914, [-10.67441177368164, -0.0852508544921875]), (-9.872322082519531, -4.936161041259766, [-9.246479988098145, -0.6258420944213867]), (-10.68845272064209, -5.344226360321045, [-10.39412784576416, -0.2943248748779297]), (-10.706077575683594, -5.353038787841797, [-10.507307052612305, -0.19877052307128906]), (-11.1110200881958, -5.5555100440979, [-10.060742378234863, -1.0502777099609375])]",124697433,roberta-base
A sled is a,toy.,sled,toy,40,"[(-5.508837699890137, -2.7544188499450684, [-5.476012229919434, -0.032825469970703125]), (-4.84071159362793, -2.420355796813965, [-4.766622543334961, -0.07408905029296875]), (-3.8657960891723633, -1.9328980445861816, [-3.836276054382324, -0.029520034790039062]), (-4.555856704711914, -2.277928352355957, [-4.473413467407227, -0.0824432373046875]), (-5.678728103637695, -2.8393640518188477, [-5.644418716430664, -0.03430938720703125])]",124697433,roberta-base
A seesaw is a,toy.,seesaw,toy,41,"[(-8.185096263885498, -4.092548131942749, [-7.581965923309326, -0.6031303405761719]), (-9.876863479614258, -4.938431739807129, [-9.833501815795898, -0.043361663818359375]), (-8.698192596435547, -4.349096298217773, [-8.264932632446289, -0.4332599639892578]), (-7.736199378967285, -3.8680996894836426, [-7.532040596008301, -0.20415878295898438]), (-8.965473175048828, -4.482736587524414, [-8.811107635498047, -0.15436553955078125])]",124697433,roberta-base
Stilts are,toys.,stilts,toy,42,"[(-9.793583869934082, -4.896791934967041, [-9.755927085876465, -0.03765678405761719]), (-8.126516342163086, -4.063258171081543, [-8.0657958984375, -0.06072044372558594]), (-11.235553741455078, -5.617776870727539, [-11.114988327026367, -0.12056541442871094]), (-8.681047439575195, -4.340523719787598, [-8.506307601928711, -0.17473983764648438]), (-8.320301055908203, -4.160150527954102, [-8.178121566772461, -0.1421794891357422])]",124697433,roberta-base
Checkers are,toys.,checkers,toy,43,"[(-10.614849090576172, -5.307424545288086, [-10.23586654663086, -0.3789825439453125]), (-12.636018753051758, -6.318009376525879, [-12.439313888549805, -0.19670486450195312]), (-10.732965469360352, -5.366482734680176, [-10.532768249511719, -0.2001972198486328]), (-8.781784057617188, -4.390892028808594, [-8.569528579711914, -0.21225547790527344]), (-11.149950981140137, -5.574975490570068, [-10.260631561279297, -0.8893194198608398])]",124697433,roberta-base
A bat is a,toy.,bat,toy,44,"[(-8.076189994812012, -4.038094997406006, [-7.909245491027832, -0.1669445037841797]), (-6.704097747802734, -3.352048873901367, [-6.551689147949219, -0.15240859985351562]), (-10.359437942504883, -5.179718971252441, [-10.271957397460938, -0.08748054504394531]), (-7.539872169494629, -3.7699360847473145, [-7.336127281188965, -0.20374488830566406]), (-9.020508766174316, -4.510254383087158, [-8.910284996032715, -0.11022377014160156])]",124697433,roberta-base
A car is a,toy.,car,toy,45,"[(-5.111598014831543, -2.5557990074157715, [-5.029976844787598, -0.08162117004394531]), (-6.954157829284668, -3.477078914642334, [-6.873013496398926, -0.08114433288574219]), (-6.06990909576416, -3.03495454788208, [-5.975417137145996, -0.09449195861816406]), (-6.66642951965332, -3.33321475982666, [-6.564891815185547, -0.10153770446777344]), (-5.976297378540039, -2.9881486892700195, [-5.919527053833008, -0.05677032470703125])]",124697433,roberta-base
An airplane is a,toy.,airplane,toy,46,"[(-6.958714485168457, -3.4793572425842285, [-6.7134599685668945, -0.2452545166015625]), (-8.095698356628418, -4.047849178314209, [-7.975075721740723, -0.12062263488769531]), (-8.840983390808105, -4.420491695404053, [-8.736750602722168, -0.1042327880859375]), (-6.51091194152832, -3.25545597076416, [-6.360193252563477, -0.15071868896484375]), (-7.784215927124023, -3.8921079635620117, [-7.720640182495117, -0.06357574462890625])]",124697433,roberta-base
A bicycle is a,toy.,bicycle,toy,47,"[(-7.744515419006348, -3.872257709503174, [-6.76102352142334, -0.9834918975830078]), (-5.270503997802734, -2.635251998901367, [-5.213375091552734, -0.05712890625]), (-9.417011260986328, -4.708505630493164, [-9.361650466918945, -0.05536079406738281]), (-5.812589645385742, -2.906294822692871, [-5.737737655639648, -0.07485198974609375]), (-9.109175682067871, -4.5545878410339355, [-9.052186012268066, -0.05698966979980469])]",124697433,roberta-base
A tractor is a,toy.,tractor,toy,48,"[(-6.308544158935547, -3.1542720794677734, [-6.087369918823242, -0.2211742401123047]), (-5.555295944213867, -2.7776479721069336, [-5.475748062133789, -0.07954788208007812]), (-7.578661918640137, -3.7893309593200684, [-7.385516166687012, -0.193145751953125]), (-5.2255859375, -2.61279296875, [-4.767305374145508, -0.4582805633544922]), (-5.019357681274414, -2.509678840637207, [-4.846220016479492, -0.17313766479492188])]",124697433,roberta-base
A sandbox is a,toy.,sandbox,toy,49,"[(-5.553491592407227, -2.7767457962036133, [-5.48187255859375, -0.07161903381347656]), (-5.4711103439331055, -2.7355551719665527, [-5.364357948303223, -0.10675239562988281]), (-6.657041549682617, -3.3285207748413086, [-6.464376449584961, -0.19266510009765625]), (-4.9173078536987305, -2.4586539268493652, [-4.556933403015137, -0.36037445068359375]), (-5.112427711486816, -2.556213855743408, [-4.978415489196777, -0.13401222229003906])]",124697433,roberta-base
A bike is a,toy.,bike,toy,50,"[(-11.562650680541992, -5.781325340270996, [-11.349340438842773, -0.21331024169921875]), (-8.379048347473145, -4.189524173736572, [-8.21302318572998, -0.16602516174316406]), (-6.175148963928223, -3.0875744819641113, [-5.839949607849121, -0.33519935607910156]), (-7.602538108825684, -3.801269054412842, [-7.415127754211426, -0.1874103546142578]), (-8.355850219726562, -4.177925109863281, [-8.308687210083008, -0.04716300964355469])]",124697433,roberta-base
A bow and arrow is a,toy.,bow and arrow,toy,51,"[(-4.608538627624512, -2.304269313812256, [-4.528138160705566, -0.08040046691894531]), (-6.245396614074707, -3.1226983070373535, [-6.096621513366699, -0.1487751007080078]), (-5.978924751281738, -2.989462375640869, [-5.782431602478027, -0.19649314880371094]), (-7.258308410644531, -3.6291542053222656, [-6.963720321655273, -0.2945880889892578]), (-5.925213813781738, -2.962606906890869, [-5.786049842834473, -0.13916397094726562])]",124697433,roberta-base
A rope is a,toy.,rope,toy,52,"[(-8.616171836853027, -4.308085918426514, [-8.573180198669434, -0.04299163818359375]), (-7.892699241638184, -3.946349620819092, [-7.828701972961426, -0.06399726867675781]), (-9.067198753356934, -4.533599376678467, [-8.942078590393066, -0.1251201629638672]), (-7.585345268249512, -3.792672634124756, [-7.491812705993652, -0.09353256225585938]), (-9.486501693725586, -4.743250846862793, [-9.401206970214844, -0.08529472351074219])]",124697433,roberta-base
Dishes are,toys.,dishes,toy,53,"[(-7.546152591705322, -3.773076295852661, [-7.4833855628967285, -0.06276702880859375]), (-8.247893333435059, -4.123946666717529, [-8.177775382995605, -0.07011795043945312]), (-7.4578375816345215, -3.7289187908172607, [-7.291965007781982, -0.16587257385253906]), (-7.0935869216918945, -3.5467934608459473, [-6.9638261795043945, -0.1297607421875]), (-7.233187198638916, -3.616593599319458, [-7.079952716827393, -0.15323448181152344])]",124697433,roberta-base
Cards are,toys.,cards,toy,54,"[(-13.465588569641113, -6.732794284820557, [-13.287196159362793, -0.1783924102783203]), (-11.060347557067871, -5.5301737785339355, [-10.851433753967285, -0.20891380310058594]), (-11.367334365844727, -5.683667182922363, [-11.243209838867188, -0.12412452697753906]), (-12.444550514221191, -6.222275257110596, [-12.341389656066895, -0.10316085815429688]), (-14.39906120300293, -7.199530601501465, [-14.169740676879883, -0.22932052612304688])]",124697433,roberta-base
A mitt is a,toy.,mitt,toy,55,"[(-7.2903852462768555, -3.6451926231384277, [-7.109951972961426, -0.1804332733154297]), (-6.678121566772461, -3.3390607833862305, [-6.195209503173828, -0.4829120635986328]), (-6.284520149230957, -3.1422600746154785, [-6.1791791915893555, -0.10534095764160156]), (-6.133424758911133, -3.0667123794555664, [-5.891897201538086, -0.24152755737304688]), (-5.690320014953613, -2.8451600074768066, [-5.5829267501831055, -0.10739326477050781])]",124697433,roberta-base
A horse is a,toy.,horse,toy,56,"[(-9.90575885772705, -4.952879428863525, [-9.860852241516113, -0.0449066162109375]), (-9.075486183166504, -4.537743091583252, [-8.6115140914917, -0.4639720916748047]), (-6.704811096191406, -3.352405548095703, [-6.503574371337891, -0.20123672485351562]), (-9.55161190032959, -4.775805950164795, [-9.424202919006348, -0.1274089813232422]), (-12.404001235961914, -6.202000617980957, [-12.197637557983398, -0.20636367797851562])]",124697433,roberta-base
A gun is a,toy.,gun,toy,57,"[(-10.025369644165039, -5.0126848220825195, [-9.977289199829102, -0.0480804443359375]), (-5.76541805267334, -2.88270902633667, [-5.697821617126465, -0.067596435546875]), (-7.731701850891113, -3.8658509254455566, [-7.571852684020996, -0.1598491668701172]), (-9.003506660461426, -4.501753330230713, [-8.972369194030762, -0.031137466430664062]), (-5.933353424072266, -2.966676712036133, [-5.850685119628906, -0.08266830444335938])]",124697433,roberta-base
Animals are,toys.,animals,toy,58,"[(-6.503116607666016, -3.251558303833008, [-6.232996940612793, -0.27011966705322266]), (-6.08290958404541, -3.041454792022705, [-5.871543884277344, -0.2113656997680664]), (-5.738956451416016, -2.869478225708008, [-5.698856353759766, -0.04010009765625]), (-7.225433349609375, -3.6127166748046875, [-7.090343475341797, -0.13508987426757812]), (-5.986931800842285, -2.9934659004211426, [-5.829970359802246, -0.15696144104003906])]",124697433,roberta-base
A tennis racket is a,toy.,tennis racket,toy,59,"[(-4.776193618774414, -2.388096809387207, [-4.684848785400391, -0.09134483337402344]), (-3.5020017623901367, -1.7510008811950684, [-3.222771644592285, -0.27923011779785156]), (-4.366400718688965, -2.1832003593444824, [-4.242257118225098, -0.12414360046386719]), (-4.693023681640625, -2.3465118408203125, [-4.603437423706055, -0.08958625793457031]), (-5.259766578674316, -2.629883289337158, [-5.108567237854004, -0.1511993408203125])]",124697433,roberta-base
