preamble,stimulus,item,category,rank,"score (sum, mean, [list)",params,model
A teddy bear is a,toy.,teddy bear,toy,11,"[(-3.0412826538085938, -1.5206413269042969, [-3.0207061767578125, -0.02057647705078125]), (-1.9183435440063477, -0.9591717720031738, [-1.8648252487182617, -0.05351829528808594]), (-2.9727230072021484, -1.4863615036010742, [-2.9465370178222656, -0.026185989379882812]), (-2.9382333755493164, -1.4691166877746582, [-2.852931022644043, -0.08530235290527344]), (-1.7835330963134766, -0.8917665481567383, [-1.6944427490234375, -0.08909034729003906])]",335174458,bert-large-uncased
A rocking horse is a,toy.,rocking horse,toy,12,"[(-5.11740779876709, -2.558703899383545, [-5.071091651916504, -0.04631614685058594]), (-5.0072760581970215, -2.5036380290985107, [-4.959466457366943, -0.047809600830078125]), (-3.8722362518310547, -1.9361181259155273, [-3.8285579681396484, -0.04367828369140625]), (-5.198128700256348, -2.599064350128174, [-5.153489112854004, -0.04463958740234375]), (-3.6701765060424805, -1.8350882530212402, [-3.6407270431518555, -0.029449462890625])]",335174458,bert-large-uncased
A doll house is a,toy.,doll house,toy,13,"[(-3.1054906845092773, -1.5527453422546387, [-3.066281318664551, -0.03920936584472656]), (-3.5768842697143555, -1.7884421348571777, [-3.543126106262207, -0.03375816345214844]), (-4.71329402923584, -2.35664701461792, [-4.650500297546387, -0.06279373168945312]), (-3.5339441299438477, -1.7669720649719238, [-3.4750547409057617, -0.05888938903808594]), (-1.858790397644043, -0.9293951988220215, [-1.8137407302856445, -0.04504966735839844])]",335174458,bert-large-uncased
A ball is a,toy.,ball,toy,14,"[(-4.347954750061035, -2.1739773750305176, [-4.273444175720215, -0.07451057434082031]), (-5.673414707183838, -2.836707353591919, [-5.635328769683838, -0.0380859375]), (-6.154099464416504, -3.077049732208252, [-6.092053413391113, -0.062046051025390625]), (-4.8047709465026855, -2.4023854732513428, [-4.737990856170654, -0.06678009033203125]), (-5.273663520812988, -2.636831760406494, [-5.1943159103393555, -0.07934761047363281])]",335174458,bert-large-uncased
Jacks are,toys.,jacks,toy,15,"[(-8.762605667114258, -4.381302833557129, [-8.39666748046875, -0.3659381866455078]), (-8.397693634033203, -4.198846817016602, [-8.29379653930664, -0.1038970947265625]), (-8.829593658447266, -4.414796829223633, [-8.764747619628906, -0.06484603881835938]), (-9.465210914611816, -4.732605457305908, [-9.386418342590332, -0.07879257202148438]), (-9.045493125915527, -4.522746562957764, [-8.91321086883545, -0.13228225708007812])]",335174458,bert-large-uncased
Paper dolls are,toys.,paper dolls,toy,16,"[(-7.287417888641357, -3.6437089443206787, [-7.2190070152282715, -0.06841087341308594]), (-10.028773307800293, -5.0143866539001465, [-9.8668851852417, -0.16188812255859375]), (-10.359835624694824, -5.179917812347412, [-10.178736686706543, -0.18109893798828125]), (-9.003946304321289, -4.5019731521606445, [-8.838129043579102, -0.1658172607421875]), (-9.288995742797852, -4.644497871398926, [-9.241395950317383, -0.04759979248046875])]",335174458,bert-large-uncased
An erector set is a,toy.,erector set,toy,17,"[(-7.286668300628662, -3.643334150314331, [-7.269896984100342, -0.016771316528320312]), (-7.319019794464111, -3.6595098972320557, [-7.293716907501221, -0.025302886962890625]), (-7.937026500701904, -3.968513250350952, [-7.916167736053467, -0.0208587646484375]), (-7.285281181335449, -3.6426405906677246, [-7.266104698181152, -0.019176483154296875]), (-6.435443878173828, -3.217721939086914, [-6.422143936157227, -0.013299942016601562])]",335174458,bert-large-uncased
A hula hoop is a,toy.,hula hoop,toy,18,"[(-2.0962018966674805, -1.0481009483337402, [-2.090123176574707, -0.0060787200927734375]), (-4.403006553649902, -2.201503276824951, [-4.380547523498535, -0.022459030151367188]), (-4.504083633422852, -2.252041816711426, [-4.476226806640625, -0.027856826782226562]), (-3.3244056701660156, -1.6622028350830078, [-3.260377883911133, -0.06402778625488281]), (-3.941829204559326, -1.970914602279663, [-3.935657024383545, -0.00617218017578125])]",335174458,bert-large-uncased
A jump rope is a,toy.,jump rope,toy,19,"[(-8.303701400756836, -4.151850700378418, [-8.276880264282227, -0.026821136474609375]), (-10.729545593261719, -5.364772796630859, [-10.710678100585938, -0.01886749267578125]), (-11.46623706817627, -5.733118534088135, [-11.455950736999512, -0.010286331176757812]), (-10.953948974609375, -5.4769744873046875, [-10.933698654174805, -0.020250320434570312]), (-8.476388931274414, -4.238194465637207, [-8.461088180541992, -0.015300750732421875])]",335174458,bert-large-uncased
A pogo stick is a,toy.,pogo stick,toy,20,"[(-0.7930049896240234, -0.3965024948120117, [-0.7570419311523438, -0.03596305847167969]), (-2.2950973510742188, -1.1475486755371094, [-2.2578277587890625, -0.03726959228515625]), (-1.781346321105957, -0.8906731605529785, [-1.7603540420532227, -0.020992279052734375]), (-1.787947654724121, -0.8939738273620605, [-1.717686653137207, -0.07026100158691406]), (-1.5437803268432617, -0.7718901634216309, [-1.4903841018676758, -0.05339622497558594])]",335174458,bert-large-uncased
A clay is a,toy.,clay,toy,21,"[(-6.901837348937988, -3.450918674468994, [-6.86832332611084, -0.03351402282714844]), (-8.527984619140625, -4.2639923095703125, [-8.429765701293945, -0.09821891784667969]), (-8.157913208007812, -4.078956604003906, [-8.085411071777344, -0.07250213623046875]), (-9.167552947998047, -4.583776473999023, [-9.138593673706055, -0.028959274291992188]), (-6.772757530212402, -3.386378765106201, [-6.68680477142334, -0.0859527587890625])]",335174458,bert-large-uncased
A wagon is a,toy.,wagon,toy,22,"[(-6.698736667633057, -3.3493683338165283, [-6.648067951202393, -0.05066871643066406]), (-6.523861885070801, -3.2619309425354004, [-6.406659126281738, -0.1172027587890625]), (-8.296675682067871, -4.1483378410339355, [-8.132380485534668, -0.16429519653320312]), (-6.1213202476501465, -3.0606601238250732, [-6.05873441696167, -0.06258583068847656]), (-7.495115756988525, -3.7475578784942627, [-7.339806079864502, -0.15530967712402344])]",335174458,bert-large-uncased
A kite is a,toy.,kite,toy,23,"[(-6.893787860870361, -3.4468939304351807, [-6.868410587310791, -0.025377273559570312]), (-5.7736310958862305, -2.8868155479431152, [-5.727147102355957, -0.04648399353027344]), (-6.517506122589111, -3.2587530612945557, [-6.482923984527588, -0.03458213806152344]), (-6.401116847991943, -3.2005584239959717, [-6.365350246429443, -0.0357666015625]), (-5.264883518218994, -2.632441759109497, [-5.23247766494751, -0.032405853271484375])]",335174458,bert-large-uncased
A train is a,toy.,train,toy,24,"[(-7.427250862121582, -3.713625431060791, [-7.366232872009277, -0.06101799011230469]), (-6.253861904144287, -3.1269309520721436, [-6.2284255027771, -0.0254364013671875]), (-8.074164390563965, -4.037082195281982, [-7.8301591873168945, -0.2440052032470703]), (-7.93008279800415, -3.965041399002075, [-7.813791751861572, -0.11629104614257812]), (-8.61163330078125, -4.305816650390625, [-8.577423095703125, -0.034210205078125])]",335174458,bert-large-uncased
A tricycle is a,toy.,tricycle,toy,25,"[(-10.25743293762207, -5.128716468811035, [-10.232892990112305, -0.024539947509765625]), (-8.340503692626953, -4.170251846313477, [-8.278984069824219, -0.061519622802734375]), (-10.955057144165039, -5.4775285720825195, [-10.848854064941406, -0.10620307922363281]), (-9.356925010681152, -4.678462505340576, [-9.319880485534668, -0.037044525146484375]), (-7.9139204025268555, -3.9569602012634277, [-7.819876670837402, -0.09404373168945312])]",335174458,bert-large-uncased
A coloring book is a,toy.,coloring book,toy,26,"[(-7.079548358917236, -3.539774179458618, [-7.021616458892822, -0.05793190002441406]), (-4.070595741271973, -2.0352978706359863, [-4.050911903381348, -0.019683837890625]), (-5.587867736816406, -2.793933868408203, [-5.53138542175293, -0.05648231506347656]), (-5.289488315582275, -2.6447441577911377, [-5.221815586090088, -0.0676727294921875]), (-3.828375816345215, -1.9141879081726074, [-3.7896604537963867, -0.038715362548828125])]",335174458,bert-large-uncased
Crayons are,toys.,crayons,toy,27,"[(-8.427411079406738, -4.213705539703369, [-8.37899112701416, -0.048419952392578125]), (-11.20782470703125, -5.603912353515625, [-11.168294906616211, -0.03952980041503906]), (-10.001489639282227, -5.000744819641113, [-9.911468505859375, -0.09002113342285156]), (-9.867461204528809, -4.933730602264404, [-9.83014965057373, -0.037311553955078125]), (-11.159846305847168, -5.579923152923584, [-11.080451011657715, -0.07939529418945312])]",335174458,bert-large-uncased
A truck is a,toy.,truck,toy,28,"[(-8.560731887817383, -4.280365943908691, [-8.509321212768555, -0.051410675048828125]), (-7.949962615966797, -3.9749813079833984, [-7.91508674621582, -0.03487586975097656]), (-7.2536163330078125, -3.6268081665039062, [-7.236761093139648, -0.016855239868164062]), (-7.409482955932617, -3.7047414779663086, [-7.386730194091797, -0.022752761840820312]), (-8.562768936157227, -4.281384468078613, [-8.52308464050293, -0.039684295654296875])]",335174458,bert-large-uncased
A puzzle is a,toy.,puzzle,toy,29,"[(-6.812770366668701, -3.4063851833343506, [-6.736997127532959, -0.07577323913574219]), (-7.050614833831787, -3.5253074169158936, [-7.005662441253662, -0.044952392578125]), (-6.411220550537109, -3.2056102752685547, [-6.319368362426758, -0.09185218811035156]), (-6.876823425292969, -3.4384117126464844, [-6.805517196655273, -0.07130622863769531]), (-6.292184829711914, -3.146092414855957, [-6.286100387573242, -0.006084442138671875])]",335174458,bert-large-uncased
A fire engine is a,toy.,fire engine,toy,30,"[(-8.646923065185547, -4.323461532592773, [-8.613046646118164, -0.03387641906738281]), (-11.143481254577637, -5.571740627288818, [-11.124430656433105, -0.01905059814453125]), (-11.972799301147461, -5.9863996505737305, [-11.959115982055664, -0.013683319091796875]), (-9.705301284790039, -4.8526506423950195, [-9.663885116577148, -0.041416168212890625]), (-7.7368483543396, -3.8684241771698, [-7.694751262664795, -0.04209709167480469])]",335174458,bert-large-uncased
A balloon is a,toy.,balloon,toy,31,"[(-7.410614967346191, -3.7053074836730957, [-7.363400459289551, -0.047214508056640625]), (-6.188151836395264, -3.094075918197632, [-6.140208721160889, -0.047943115234375]), (-5.90996789932251, -2.954983949661255, [-5.876123905181885, -0.033843994140625]), (-5.74099063873291, -2.870495319366455, [-5.694352149963379, -0.04663848876953125]), (-6.991872310638428, -3.495936155319214, [-6.904088497161865, -0.0877838134765625])]",335174458,bert-large-uncased
Skates are,toys.,skates,toy,32,"[(-10.914329528808594, -5.457164764404297, [-10.692520141601562, -0.22180938720703125]), (-10.170337677001953, -5.085168838500977, [-10.07231330871582, -0.09802436828613281]), (-12.407614707946777, -6.203807353973389, [-12.363204002380371, -0.04441070556640625]), (-10.459952354431152, -5.229976177215576, [-10.36560344696045, -0.09434890747070312]), (-9.930441856384277, -4.965220928192139, [-9.856059074401855, -0.07438278198242188])]",335174458,bert-large-uncased
A baseball is a,toy.,baseball,toy,33,"[(-7.950526714324951, -3.9752633571624756, [-7.85889196395874, -0.09163475036621094]), (-7.110846996307373, -3.5554234981536865, [-7.092200756072998, -0.018646240234375]), (-7.67939567565918, -3.83969783782959, [-7.616741180419922, -0.06265449523925781]), (-8.197160720825195, -4.098580360412598, [-8.127927780151367, -0.06923294067382812]), (-8.431818008422852, -4.215909004211426, [-8.414054870605469, -0.017763137817382812])]",335174458,bert-large-uncased
A drum is a,toy.,drum,toy,34,"[(-7.199702262878418, -3.599851131439209, [-7.191269874572754, -0.008432388305664062]), (-5.090640544891357, -2.5453202724456787, [-5.053342342376709, -0.03729820251464844]), (-6.527523040771484, -3.263761520385742, [-6.4660797119140625, -0.061443328857421875]), (-7.368853569030762, -3.684426784515381, [-7.238263130187988, -0.13059043884277344]), (-4.731682777404785, -2.3658413887023926, [-4.689444541931152, -0.04223823547363281])]",335174458,bert-large-uncased
A football is a,toy.,football,toy,35,"[(-7.254506587982178, -3.627253293991089, [-7.193007946014404, -0.06149864196777344]), (-7.637659072875977, -3.8188295364379883, [-7.57557487487793, -0.062084197998046875]), (-9.41759967803955, -4.708799839019775, [-9.356701850891113, -0.0608978271484375]), (-6.656095504760742, -3.328047752380371, [-6.650358200073242, -0.0057373046875]), (-6.111169815063477, -3.0555849075317383, [-6.06151008605957, -0.04965972900390625])]",335174458,bert-large-uncased
A game is a,toy.,game,toy,36,"[(-6.64535665512085, -3.322678327560425, [-6.611573696136475, -0.033782958984375]), (-8.22743034362793, -4.113715171813965, [-8.111440658569336, -0.11598968505859375]), (-6.552055358886719, -3.2760276794433594, [-6.411529541015625, -0.14052581787109375]), (-7.571983337402344, -3.785991668701172, [-7.52153205871582, -0.05045127868652344]), (-8.132099151611328, -4.066049575805664, [-8.02557373046875, -0.10652542114257812])]",335174458,bert-large-uncased
A swing is a,toy.,swing,toy,37,"[(-6.917036056518555, -3.4585180282592773, [-6.8607330322265625, -0.05630302429199219]), (-10.551666259765625, -5.2758331298828125, [-10.497655868530273, -0.05401039123535156]), (-6.769348621368408, -3.384674310684204, [-6.739792346954346, -0.0295562744140625]), (-8.126219749450684, -4.063109874725342, [-8.097821235656738, -0.028398513793945312]), (-7.477921485900879, -3.7389607429504395, [-7.408877372741699, -0.06904411315917969])]",335174458,bert-large-uncased
A boat is a,toy.,boat,toy,38,"[(-7.481812953948975, -3.7409064769744873, [-7.453469753265381, -0.02834320068359375]), (-8.67186164855957, -4.335930824279785, [-8.633481979370117, -0.038379669189453125]), (-7.26146125793457, -3.630730628967285, [-7.189485549926758, -0.0719757080078125]), (-10.616241455078125, -5.3081207275390625, [-10.579723358154297, -0.036518096923828125]), (-9.938985824584961, -4.9694929122924805, [-9.909921646118164, -0.029064178466796875])]",335174458,bert-large-uncased
A monopoly is a,toy.,monopoly,toy,39,"[(-11.178377151489258, -5.589188575744629, [-11.125242233276367, -0.053134918212890625]), (-13.433042526245117, -6.716521263122559, [-13.400323867797852, -0.032718658447265625]), (-10.40808391571045, -5.204041957855225, [-10.280444145202637, -0.1276397705078125]), (-8.795226097106934, -4.397613048553467, [-8.75423526763916, -0.04099082946777344]), (-8.216439247131348, -4.108219623565674, [-8.146931648254395, -0.06950759887695312])]",335174458,bert-large-uncased
A sled is a,toy.,sled,toy,40,"[(-6.800971508026123, -3.4004857540130615, [-6.777530193328857, -0.023441314697265625]), (-6.964950084686279, -3.4824750423431396, [-6.857829570770264, -0.10712051391601562]), (-8.531290054321289, -4.2656450271606445, [-8.467306137084961, -0.06398391723632812]), (-6.885656833648682, -3.442828416824341, [-6.86831521987915, -0.01734161376953125]), (-8.357536315917969, -4.178768157958984, [-8.295879364013672, -0.061656951904296875])]",335174458,bert-large-uncased
A seesaw is a,toy.,seesaw,toy,41,"[(-8.350114822387695, -4.175057411193848, [-8.278318405151367, -0.07179641723632812]), (-7.406940937042236, -3.703470468521118, [-7.282852649688721, -0.12408828735351562]), (-7.926974296569824, -3.963487148284912, [-7.897408485412598, -0.029565811157226562]), (-6.535560131072998, -3.267780065536499, [-6.495479106903076, -0.040081024169921875]), (-6.0255208015441895, -3.0127604007720947, [-5.896761417388916, -0.12875938415527344])]",335174458,bert-large-uncased
Stilts are,toys.,stilts,toy,42,"[(-10.60673999786377, -5.303369998931885, [-10.4630708694458, -0.14366912841796875]), (-11.052926063537598, -5.526463031768799, [-10.973799705505371, -0.07912635803222656]), (-10.065001487731934, -5.032500743865967, [-10.041794776916504, -0.023206710815429688]), (-10.48259449005127, -5.241297245025635, [-10.26663875579834, -0.2159557342529297]), (-10.047435760498047, -5.023717880249023, [-9.947444915771484, -0.0999908447265625])]",335174458,bert-large-uncased
Checkers are,toys.,checkers,toy,43,"[(-10.60437297821045, -5.302186489105225, [-10.390469551086426, -0.21390342712402344]), (-11.2200345993042, -5.6100172996521, [-11.161620140075684, -0.058414459228515625]), (-10.180011749267578, -5.090005874633789, [-10.149471282958984, -0.03054046630859375]), (-10.545281410217285, -5.272640705108643, [-10.375689506530762, -0.16959190368652344]), (-10.542949676513672, -5.271474838256836, [-10.415353775024414, -0.1275959014892578])]",335174458,bert-large-uncased
A bat is a,toy.,bat,toy,44,"[(-8.349864959716797, -4.174932479858398, [-8.290559768676758, -0.05930519104003906]), (-6.436375141143799, -3.2181875705718994, [-6.3839192390441895, -0.052455902099609375]), (-7.587650775909424, -3.793825387954712, [-7.516632556915283, -0.07101821899414062]), (-7.969602584838867, -3.9848012924194336, [-7.934288024902344, -0.03531455993652344]), (-8.835488319396973, -4.417744159698486, [-8.793702125549316, -0.04178619384765625])]",335174458,bert-large-uncased
A car is a,toy.,car,toy,45,"[(-8.04743480682373, -4.023717403411865, [-7.963292121887207, -0.08414268493652344]), (-7.500423431396484, -3.750211715698242, [-7.486234664916992, -0.014188766479492188]), (-6.193268775939941, -3.0966343879699707, [-6.129508018493652, -0.06376075744628906]), (-6.7229084968566895, -3.3614542484283447, [-6.6748127937316895, -0.048095703125]), (-5.906968116760254, -2.953484058380127, [-5.886012077331543, -0.020956039428710938])]",335174458,bert-large-uncased
An airplane is a,toy.,airplane,toy,46,"[(-5.797881603240967, -2.8989408016204834, [-5.740638256072998, -0.05724334716796875]), (-6.772091865539551, -3.3860459327697754, [-6.743597984313965, -0.028493881225585938]), (-5.865196228027344, -2.932598114013672, [-5.837024688720703, -0.028171539306640625]), (-6.4751129150390625, -3.2375564575195312, [-6.426492691040039, -0.04862022399902344]), (-6.232911586761475, -3.1164557933807373, [-6.210391521453857, -0.022520065307617188])]",335174458,bert-large-uncased
A bicycle is a,toy.,bicycle,toy,47,"[(-7.322348117828369, -3.6611740589141846, [-7.25797700881958, -0.06437110900878906]), (-8.3096284866333, -4.15481424331665, [-8.172547340393066, -0.13708114624023438]), (-6.756811618804932, -3.378405809402466, [-6.745626926422119, -0.0111846923828125]), (-6.637211322784424, -3.318605661392212, [-6.621696949005127, -0.015514373779296875]), (-6.540484428405762, -3.270242214202881, [-6.48122501373291, -0.05925941467285156])]",335174458,bert-large-uncased
A tractor is a,toy.,tractor,toy,48,"[(-7.377028465270996, -3.688514232635498, [-7.368086814880371, -0.008941650390625]), (-6.051639556884766, -3.025819778442383, [-6.027864456176758, -0.023775100708007812]), (-7.219546318054199, -3.6097731590270996, [-7.119330406188965, -0.10021591186523438]), (-6.894262790679932, -3.447131395339966, [-6.852880954742432, -0.0413818359375]), (-6.835089206695557, -3.4175446033477783, [-6.789555072784424, -0.04553413391113281])]",335174458,bert-large-uncased
A sandbox is a,toy.,sandbox,toy,49,"[(-3.681102752685547, -1.8405513763427734, [-3.652294158935547, -0.02880859375]), (-6.341004848480225, -3.1705024242401123, [-6.295684337615967, -0.04532051086425781]), (-5.453979015350342, -2.726989507675171, [-5.434751033782959, -0.019227981567382812]), (-3.6081066131591797, -1.8040533065795898, [-3.5921630859375, -0.015943527221679688]), (-4.491878509521484, -2.245939254760742, [-4.421154022216797, -0.0707244873046875])]",335174458,bert-large-uncased
A bike is a,toy.,bike,toy,50,"[(-7.149258613586426, -3.574629306793213, [-7.1028337478637695, -0.04642486572265625]), (-6.993757247924805, -3.4968786239624023, [-6.942590713500977, -0.051166534423828125]), (-5.886715888977051, -2.9433579444885254, [-5.842776298522949, -0.04393959045410156]), (-5.773059368133545, -2.8865296840667725, [-5.687192440032959, -0.08586692810058594]), (-6.288592338562012, -3.144296169281006, [-6.2338972091674805, -0.05469512939453125])]",335174458,bert-large-uncased
A bow and arrow is a,toy.,bow and arrow,toy,51,"[(-7.092498779296875, -3.5462493896484375, [-7.040782928466797, -0.051715850830078125]), (-7.2120842933654785, -3.6060421466827393, [-7.195885181427002, -0.016199111938476562]), (-5.3394670486450195, -2.6697335243225098, [-5.2959794998168945, -0.043487548828125]), (-6.531686305999756, -3.265843152999878, [-6.482116222381592, -0.04957008361816406]), (-4.415776252746582, -2.207888126373291, [-4.379715919494629, -0.036060333251953125])]",335174458,bert-large-uncased
A rope is a,toy.,rope,toy,52,"[(-7.974084377288818, -3.987042188644409, [-7.86923360824585, -0.10485076904296875]), (-6.411207675933838, -3.205603837966919, [-6.383049488067627, -0.028158187866210938]), (-8.374481201171875, -4.1872406005859375, [-8.35986328125, -0.014617919921875]), (-8.035122871398926, -4.017561435699463, [-7.939835548400879, -0.09528732299804688]), (-8.031164169311523, -4.015582084655762, [-7.970447540283203, -0.06071662902832031])]",335174458,bert-large-uncased
Dishes are,toys.,dishes,toy,53,"[(-10.83189582824707, -5.415947914123535, [-10.811939239501953, -0.019956588745117188]), (-11.40677547454834, -5.70338773727417, [-11.322182655334473, -0.08459281921386719]), (-11.822275161743164, -5.911137580871582, [-11.760480880737305, -0.061794281005859375]), (-11.187230110168457, -5.5936150550842285, [-11.179146766662598, -0.008083343505859375]), (-9.625551223754883, -4.812775611877441, [-9.589324951171875, -0.03622627258300781])]",335174458,bert-large-uncased
Cards are,toys.,cards,toy,54,"[(-10.971248626708984, -5.485624313354492, [-10.864843368530273, -0.10640525817871094]), (-11.482637405395508, -5.741318702697754, [-11.364583969116211, -0.11805343627929688]), (-10.954496383666992, -5.477248191833496, [-10.842475891113281, -0.11202049255371094]), (-12.285266876220703, -6.142633438110352, [-11.986030578613281, -0.2992362976074219]), (-10.457406997680664, -5.228703498840332, [-10.301328659057617, -0.15607833862304688])]",335174458,bert-large-uncased
A mitt is a,toy.,mitt,toy,55,"[(-8.876635551452637, -4.438317775726318, [-8.82819652557373, -0.04843902587890625]), (-7.465953350067139, -3.7329766750335693, [-7.414819240570068, -0.05113410949707031]), (-6.4341206550598145, -3.2170603275299072, [-6.366501331329346, -0.06761932373046875]), (-8.77546501159668, -4.38773250579834, [-8.685178756713867, -0.0902862548828125]), (-5.809395790100098, -2.904697895050049, [-5.711907386779785, -0.0974884033203125])]",335174458,bert-large-uncased
A horse is a,toy.,horse,toy,56,"[(-6.77122163772583, -3.385610818862915, [-6.757229328155518, -0.0139923095703125]), (-7.3870062828063965, -3.6935031414031982, [-7.262765407562256, -0.12424087524414062]), (-8.060544967651367, -4.030272483825684, [-8.037418365478516, -0.023126602172851562]), (-8.2215576171875, -4.11077880859375, [-8.207918167114258, -0.013639450073242188]), (-6.297848224639893, -3.1489241123199463, [-6.169592380523682, -0.12825584411621094])]",335174458,bert-large-uncased
A gun is a,toy.,gun,toy,57,"[(-6.414357662200928, -3.207178831100464, [-6.333980083465576, -0.08037757873535156]), (-7.385425567626953, -3.6927127838134766, [-7.340045928955078, -0.045379638671875]), (-6.609611511230469, -3.3048057556152344, [-6.512662887573242, -0.09694862365722656]), (-7.035411834716797, -3.5177059173583984, [-7.007722854614258, -0.027688980102539062]), (-6.890456199645996, -3.445228099822998, [-6.872218132019043, -0.018238067626953125])]",335174458,bert-large-uncased
Animals are,toys.,animals,toy,58,"[(-8.595398902893066, -4.297699451446533, [-8.493575096130371, -0.10182380676269531]), (-9.884865760803223, -4.942432880401611, [-9.81513500213623, -0.06973075866699219]), (-8.344804763793945, -4.172402381896973, [-8.215408325195312, -0.1293964385986328]), (-8.568841934204102, -4.284420967102051, [-8.54391860961914, -0.024923324584960938]), (-7.837104320526123, -3.9185521602630615, [-7.764607906341553, -0.07249641418457031])]",335174458,bert-large-uncased
