preamble,stimulus,item,category,feature
A seagull,lays eggs.,seagull,bird,8
A woodpecker,lays eggs.,woodpecker,bird,8
A pigeon,lays eggs.,pigeon,bird,8
A thrush,lays eggs.,thrush,bird,8
A falcon,lays eggs.,falcon,bird,8
A crow,lays eggs.,crow,bird,8
A hawk,lays eggs.,hawk,bird,8
A raven,lays eggs.,raven,bird,8
A goldfinch,lays eggs.,goldfinch,bird,8
A parrot,lays eggs.,parrot,bird,8
A sandpiper,lays eggs.,sandpiper,bird,8
A pheasant,lays eggs.,pheasant,bird,8
A catbird,lays eggs.,catbird,bird,8
A crane,lays eggs.,crane,bird,8
An albatross,lays eggs.,albatross,bird,8
A condor,lays eggs.,condor,bird,8
A toucan,lays eggs.,toucan,bird,8
An owl,lays eggs.,owl,bird,8
A pelican,lays eggs.,pelican,bird,8
A goose,lays eggs.,goose,bird,8
A vulture,lays eggs.,vulture,bird,8
A stork,lays eggs.,stork,bird,8
A buzzard,lays eggs.,buzzard,bird,8
A swan,lays eggs.,swan,bird,8
A flamingo,lays eggs.,flamingo,bird,8
A duck,lays eggs.,duck,bird,8
A peacock,lays eggs.,peacock,bird,8
An egret,lays eggs.,egret,bird,8
A chicken,lays eggs.,chicken,bird,8
A turkey,lays eggs.,turkey,bird,8
An ostrich,lays eggs.,ostrich,bird,8
A titmouse,lays eggs.,titmouse,bird,8
An emu,lays eggs.,emu,bird,8
A penguin,lays eggs.,penguin,bird,8
A bat,lays eggs.,bat,bird,8
A robin,has just two legs.,robin,bird,9
A sparrow,has just two legs.,sparrow,bird,9
A bluejay,has just two legs.,bluejay,bird,9
A bluebird,has just two legs.,bluebird,bird,9
A canary,has just two legs.,canary,bird,9
A blackbird,has just two legs.,blackbird,bird,9
A dove,has just two legs.,dove,bird,9
A lark,has just two legs.,lark,bird,9
A swallow,has just two legs.,swallow,bird,9
A parakeet,has just two legs.,parakeet,bird,9
An oriole,has just two legs.,oriole,bird,9
A mockingbird,has just two legs.,mockingbird,bird,9
A redbird,has just two legs.,redbird,bird,9
A wren,has just two legs.,wren,bird,9
A finch,has just two legs.,finch,bird,9
A starling,has just two legs.,starling,bird,9
A cardinal,has just two legs.,cardinal,bird,9
An eagle,has just two legs.,eagle,bird,9
A hummingbird,has just two legs.,hummingbird,bird,9
A seagull,has just two legs.,seagull,bird,9
A woodpecker,has just two legs.,woodpecker,bird,9
A pigeon,has just two legs.,pigeon,bird,9
A thrush,has just two legs.,thrush,bird,9
A falcon,has just two legs.,falcon,bird,9
A crow,has just two legs.,crow,bird,9
A hawk,has just two legs.,hawk,bird,9
A raven,has just two legs.,raven,bird,9
A goldfinch,has just two legs.,goldfinch,bird,9
A parrot,has just two legs.,parrot,bird,9
A sandpiper,has just two legs.,sandpiper,bird,9
A pheasant,has just two legs.,pheasant,bird,9
A catbird,has just two legs.,catbird,bird,9
A crane,has just two legs.,crane,bird,9
An albatross,has just two legs.,albatross,bird,9
A condor,has just two legs.,condor,bird,9
A toucan,has just two legs.,toucan,bird,9
An owl,has just two legs.,owl,bird,9
A pelican,has just two legs.,pelican,bird,9
A goose,has just two legs.,goose,bird,9
A vulture,has just two legs.,vulture,bird,9
A stork,has just two legs.,stork,bird,9
A buzzard,has just two legs.,buzzard,bird,9
A swan,has just two legs.,swan,bird,9
A flamingo,has just two legs.,flamingo,bird,9
A duck,has just two legs.,duck,bird,9
A peacock,has just two legs.,peacock,bird,9
An egret,has just two legs.,egret,bird,9
A chicken,has just two legs.,chicken,bird,9
A turkey,has just two legs.,turkey,bird,9
An ostrich,has just two legs.,ostrich,bird,9
A titmouse,has just two legs.,titmouse,bird,9
An emu,has just two legs.,emu,bird,9
A penguin,has just two legs.,penguin,bird,9
A bat,has just two legs.,bat,bird,9
A robin,builds nests.,robin,bird,10
A sparrow,builds nests.,sparrow,bird,10
A bluejay,builds nests.,bluejay,bird,10
A bluebird,builds nests.,bluebird,bird,10
A canary,builds nests.,canary,bird,10
A blackbird,builds nests.,blackbird,bird,10
A dove,builds nests.,dove,bird,10
A lark,builds nests.,lark,bird,10
A swallow,builds nests.,swallow,bird,10
A parakeet,builds nests.,parakeet,bird,10
An oriole,builds nests.,oriole,bird,10
A mockingbird,builds nests.,mockingbird,bird,10
A redbird,builds nests.,redbird,bird,10
A wren,builds nests.,wren,bird,10
A finch,builds nests.,finch,bird,10
A starling,builds nests.,starling,bird,10
A cardinal,builds nests.,cardinal,bird,10
An eagle,builds nests.,eagle,bird,10
A hummingbird,builds nests.,hummingbird,bird,10
A seagull,builds nests.,seagull,bird,10
A woodpecker,builds nests.,woodpecker,bird,10
A pigeon,builds nests.,pigeon,bird,10
A thrush,builds nests.,thrush,bird,10
A falcon,builds nests.,falcon,bird,10
A crow,builds nests.,crow,bird,10
A hawk,builds nests.,hawk,bird,10
A raven,builds nests.,raven,bird,10
A goldfinch,builds nests.,goldfinch,bird,10
A parrot,builds nests.,parrot,bird,10
A sandpiper,builds nests.,sandpiper,bird,10
A pheasant,builds nests.,pheasant,bird,10
A catbird,builds nests.,catbird,bird,10
A crane,builds nests.,crane,bird,10
An albatross,builds nests.,albatross,bird,10
A condor,builds nests.,condor,bird,10
A toucan,builds nests.,toucan,bird,10
An owl,builds nests.,owl,bird,10
A pelican,builds nests.,pelican,bird,10
A goose,builds nests.,goose,bird,10
A vulture,builds nests.,vulture,bird,10
A stork,builds nests.,stork,bird,10
A buzzard,builds nests.,buzzard,bird,10
A swan,builds nests.,swan,bird,10
A flamingo,builds nests.,flamingo,bird,10
A duck,builds nests.,duck,bird,10
A peacock,builds nests.,peacock,bird,10
An egret,builds nests.,egret,bird,10
A chicken,builds nests.,chicken,bird,10
A turkey,builds nests.,turkey,bird,10
An ostrich,builds nests.,ostrich,bird,10
A titmouse,builds nests.,titmouse,bird,10
An emu,builds nests.,emu,bird,10
A penguin,builds nests.,penguin,bird,10
A bat,builds nests.,bat,bird,10
A robin,sings.,robin,bird,11
A sparrow,sings.,sparrow,bird,11
A bluejay,sings.,bluejay,bird,11
A bluebird,sings.,bluebird,bird,11
A canary,sings.,canary,bird,11
A blackbird,sings.,blackbird,bird,11
A dove,sings.,dove,bird,11
A lark,sings.,lark,bird,11
A swallow,sings.,swallow,bird,11
A parakeet,sings.,parakeet,bird,11
An oriole,sings.,oriole,bird,11
A mockingbird,sings.,mockingbird,bird,11
A redbird,sings.,redbird,bird,11
A wren,sings.,wren,bird,11
A finch,sings.,finch,bird,11
A starling,sings.,starling,bird,11
A cardinal,sings.,cardinal,bird,11
An eagle,sings.,eagle,bird,11
A hummingbird,sings.,hummingbird,bird,11
A seagull,sings.,seagull,bird,11
A woodpecker,sings.,woodpecker,bird,11
A pigeon,sings.,pigeon,bird,11
A thrush,sings.,thrush,bird,11
A falcon,sings.,falcon,bird,11
A crow,sings.,crow,bird,11
A hawk,sings.,hawk,bird,11
A raven,sings.,raven,bird,11
A goldfinch,sings.,goldfinch,bird,11
A parrot,sings.,parrot,bird,11
A sandpiper,sings.,sandpiper,bird,11
A pheasant,sings.,pheasant,bird,11
A catbird,sings.,catbird,bird,11
A crane,sings.,crane,bird,11
An albatross,sings.,albatross,bird,11
A condor,sings.,condor,bird,11
A toucan,sings.,toucan,bird,11
An owl,sings.,owl,bird,11
A pelican,sings.,pelican,bird,11
A goose,sings.,goose,bird,11
A vulture,sings.,vulture,bird,11
A stork,sings.,stork,bird,11
A buzzard,sings.,buzzard,bird,11
A swan,sings.,swan,bird,11
A flamingo,sings.,flamingo,bird,11
A duck,sings.,duck,bird,11
A peacock,sings.,peacock,bird,11
An egret,sings.,egret,bird,11
A chicken,sings.,chicken,bird,11
A turkey,sings.,turkey,bird,11
An ostrich,sings.,ostrich,bird,11
A titmouse,sings.,titmouse,bird,11
An emu,sings.,emu,bird,11
A penguin,sings.,penguin,bird,11
A bat,sings.,bat,bird,11
A robin,has claws.,robin,bird,12
A sparrow,has claws.,sparrow,bird,12
A bluejay,has claws.,bluejay,bird,12
A bluebird,has claws.,bluebird,bird,12
A canary,has claws.,canary,bird,12
A blackbird,has claws.,blackbird,bird,12
A dove,has claws.,dove,bird,12
A lark,has claws.,lark,bird,12
A swallow,has claws.,swallow,bird,12
A parakeet,has claws.,parakeet,bird,12
An oriole,has claws.,oriole,bird,12
A mockingbird,has claws.,mockingbird,bird,12
A redbird,has claws.,redbird,bird,12
A wren,has claws.,wren,bird,12
A finch,has claws.,finch,bird,12
A starling,has claws.,starling,bird,12
A cardinal,has claws.,cardinal,bird,12
An eagle,has claws.,eagle,bird,12
A hummingbird,has claws.,hummingbird,bird,12
A seagull,has claws.,seagull,bird,12
A woodpecker,has claws.,woodpecker,bird,12
A pigeon,has claws.,pigeon,bird,12
A thrush,has claws.,thrush,bird,12
A falcon,has claws.,falcon,bird,12
A crow,has claws.,crow,bird,12
A hawk,has claws.,hawk,bird,12
A raven,has claws.,raven,bird,12
A goldfinch,has claws.,goldfinch,bird,12
A parrot,has claws.,parrot,bird,12
A sandpiper,has claws.,sandpiper,bird,12
A pheasant,has claws.,pheasant,bird,12
A catbird,has claws.,catbird,bird,12
A crane,has claws.,crane,bird,12
An albatross,has claws.,albatross,bird,12
A condor,has claws.,condor,bird,12
A toucan,has claws.,toucan,bird,12
An owl,has claws.,owl,bird,12
A pelican,has claws.,pelican,bird,12
A goose,has claws.,goose,bird,12
A vulture,has claws.,vulture,bird,12
A stork,has claws.,stork,bird,12
A buzzard,has claws.,buzzard,bird,12
A swan,has claws.,swan,bird,12
A flamingo,has claws.,flamingo,bird,12
A duck,has claws.,duck,bird,12
A peacock,has claws.,peacock,bird,12
An egret,has claws.,egret,bird,12
A chicken,has claws.,chicken,bird,12
A turkey,has claws.,turkey,bird,12
An ostrich,has claws.,ostrich,bird,12
A titmouse,has claws.,titmouse,bird,12
An emu,has claws.,emu,bird,12
A penguin,has claws.,penguin,bird,12
A bat,has claws.,bat,bird,12
A robin,is very lightweight.,robin,bird,13
A sparrow,is very lightweight.,sparrow,bird,13
A bluejay,is very lightweight.,bluejay,bird,13
A bluebird,is very lightweight.,bluebird,bird,13
A canary,is very lightweight.,canary,bird,13
A blackbird,is very lightweight.,blackbird,bird,13
A dove,is very lightweight.,dove,bird,13
A lark,is very lightweight.,lark,bird,13
A swallow,is very lightweight.,swallow,bird,13
A parakeet,is very lightweight.,parakeet,bird,13
An oriole,is very lightweight.,oriole,bird,13
A mockingbird,is very lightweight.,mockingbird,bird,13
A redbird,is very lightweight.,redbird,bird,13
A wren,is very lightweight.,wren,bird,13
A finch,is very lightweight.,finch,bird,13
A starling,is very lightweight.,starling,bird,13
A cardinal,is very lightweight.,cardinal,bird,13
An eagle,is very lightweight.,eagle,bird,13
A hummingbird,is very lightweight.,hummingbird,bird,13
A seagull,is very lightweight.,seagull,bird,13
A woodpecker,is very lightweight.,woodpecker,bird,13
A pigeon,is very lightweight.,pigeon,bird,13
A thrush,is very lightweight.,thrush,bird,13
A falcon,is very lightweight.,falcon,bird,13
A crow,is very lightweight.,crow,bird,13
A hawk,is very lightweight.,hawk,bird,13
A raven,is very lightweight.,raven,bird,13
A goldfinch,is very lightweight.,goldfinch,bird,13
A parrot,is very lightweight.,parrot,bird,13
A sandpiper,is very lightweight.,sandpiper,bird,13
A pheasant,is very lightweight.,pheasant,bird,13
A catbird,is very lightweight.,catbird,bird,13
A crane,is very lightweight.,crane,bird,13
An albatross,is very lightweight.,albatross,bird,13
A condor,is very lightweight.,condor,bird,13
A toucan,is very lightweight.,toucan,bird,13
An owl,is very lightweight.,owl,bird,13
A pelican,is very lightweight.,pelican,bird,13
A goose,is very lightweight.,goose,bird,13
A vulture,is very lightweight.,vulture,bird,13
A stork,is very lightweight.,stork,bird,13
A buzzard,is very lightweight.,buzzard,bird,13
A swan,is very lightweight.,swan,bird,13
A flamingo,is very lightweight.,flamingo,bird,13
A duck,is very lightweight.,duck,bird,13
A peacock,is very lightweight.,peacock,bird,13
An egret,is very lightweight.,egret,bird,13
A chicken,is very lightweight.,chicken,bird,13
A turkey,is very lightweight.,turkey,bird,13
