preamble,stimulus,item,category,rank,"score (sum, mean, [list)",params,model
A teddy bear is a,toy.,teddy bear,toy,11,"[(-8.555412292480469, -4.277706146240234, [-3.7360992431640625, -4.819313049316406]), (-6.938995361328125, -3.4694976806640625, [-5.328025817871094, -1.6109695434570312]), (-7.3436737060546875, -3.6718368530273438, [-4.394569396972656, -2.9491043090820312]), (-8.110916137695312, -4.055458068847656, [-4.725578308105469, -3.3853378295898438]), (-8.379035949707031, -4.189517974853516, [-4.102210998535156, -4.276824951171875])]",124439808,gpt2
A rocking horse is a,toy.,rocking horse,toy,12,"[(-9.003173828125, -4.5015869140625, [-6.24432373046875, -2.75885009765625]), (-9.583816528320312, -4.791908264160156, [-6.8812255859375, -2.7025909423828125]), (-9.463890075683594, -4.731945037841797, [-6.272247314453125, -3.1916427612304688]), (-9.103340148925781, -4.551670074462891, [-6.505683898925781, -2.59765625]), (-9.165069580078125, -4.5825347900390625, [-6.583274841308594, -2.5817947387695312])]",124439808,gpt2
A doll house is a,toy.,doll house,toy,13,"[(-9.293136596679688, -4.646568298339844, [-5.937431335449219, -3.3557052612304688]), (-9.766777038574219, -4.883388519287109, [-7.1400604248046875, -2.6267166137695312]), (-10.821182250976562, -5.410591125488281, [-7.0123291015625, -3.8088531494140625]), (-10.032760620117188, -5.016380310058594, [-6.311309814453125, -3.7214508056640625]), (-10.119071960449219, -5.059535980224609, [-7.169410705566406, -2.9496612548828125])]",124439808,gpt2
A ball is a,toy.,ball,toy,14,"[(-8.321914672851562, -4.160957336425781, [-6.843414306640625, -1.4785003662109375]), (-8.578224182128906, -4.289112091064453, [-6.1529693603515625, -2.4252548217773438]), (-8.504852294921875, -4.2524261474609375, [-6.9093475341796875, -1.5955047607421875]), (-10.016220092773438, -5.008110046386719, [-7.125740051269531, -2.8904800415039062]), (-9.27099609375, -4.635498046875, [-7.134857177734375, -2.136138916015625])]",124439808,gpt2
Jacks are,toys.,jacks,toy,15,"[(-11.532066345214844, -5.766033172607422, [-9.720054626464844, -1.81201171875]), (-12.194160461425781, -6.097080230712891, [-10.448440551757812, -1.7457199096679688]), (-11.048828125, -5.5244140625, [-9.611412048339844, -1.4374160766601562]), (-11.813087463378906, -5.906543731689453, [-9.446197509765625, -2.3668899536132812]), (-13.029205322265625, -6.5146026611328125, [-11.395942687988281, -1.6332626342773438])]",124439808,gpt2
Paper dolls are,toys.,paper dolls,toy,16,"[(-10.297088623046875, -5.1485443115234375, [-7.279365539550781, -3.0177230834960938]), (-10.618583679199219, -5.309291839599609, [-8.236892700195312, -2.3816909790039062]), (-9.804191589355469, -4.902095794677734, [-7.1204681396484375, -2.6837234497070312]), (-8.802474975585938, -4.401237487792969, [-6.489448547363281, -2.3130264282226562]), (-9.102210998535156, -4.551105499267578, [-6.580513000488281, -2.521697998046875])]",124439808,gpt2
An erector set is a,toy.,erector set,toy,17,"[(-10.459548950195312, -5.229774475097656, [-7.3514251708984375, -3.108123779296875]), (-11.332077026367188, -5.666038513183594, [-7.236076354980469, -4.096000671386719]), (-10.491073608398438, -5.245536804199219, [-6.8809814453125, -3.6100921630859375]), (-11.92633056640625, -5.963165283203125, [-6.679595947265625, -5.246734619140625]), (-11.906974792480469, -5.953487396240234, [-7.012725830078125, -4.894248962402344])]",124439808,gpt2
A hula hoop is a,toy.,hula hoop,toy,18,"[(-10.883148193359375, -5.4415740966796875, [-6.3300323486328125, -4.5531158447265625]), (-10.048667907714844, -5.024333953857422, [-7.474525451660156, -2.5741424560546875]), (-10.946380615234375, -5.4731903076171875, [-7.232978820800781, -3.7134017944335938]), (-10.053192138671875, -5.0265960693359375, [-7.250907897949219, -2.8022842407226562]), (-10.444046020507812, -5.222023010253906, [-7.262115478515625, -3.1819305419921875])]",124439808,gpt2
A jump rope is a,toy.,jump rope,toy,19,"[(-10.529754638671875, -5.2648773193359375, [-8.033950805664062, -2.4958038330078125]), (-10.47552490234375, -5.237762451171875, [-7.52825927734375, -2.947265625]), (-10.380485534667969, -5.190242767333984, [-7.485786437988281, -2.8946990966796875]), (-10.832740783691406, -5.416370391845703, [-6.934898376464844, -3.8978424072265625]), (-10.515090942382812, -5.257545471191406, [-8.265060424804688, -2.250030517578125])]",124439808,gpt2
A pogo stick is a,toy.,pogo stick,toy,20,"[(-9.7972412109375, -4.89862060546875, [-4.7308349609375, -5.06640625]), (-8.937530517578125, -4.4687652587890625, [-5.5003509521484375, -3.4371795654296875]), (-11.333869934082031, -5.666934967041016, [-6.2311859130859375, -5.102684020996094]), (-9.654823303222656, -4.827411651611328, [-5.743797302246094, -3.9110260009765625]), (-9.314857482910156, -4.657428741455078, [-4.7194976806640625, -4.595359802246094])]",124439808,gpt2
A clay is a,toy.,clay,toy,21,"[(-10.504249572753906, -5.252124786376953, [-7.708221435546875, -2.7960281372070312]), (-11.616844177246094, -5.808422088623047, [-8.5528564453125, -3.0639877319335938]), (-10.345603942871094, -5.172801971435547, [-7.817802429199219, -2.527801513671875]), (-10.560066223144531, -5.280033111572266, [-7.753669738769531, -2.806396484375]), (-11.983352661132812, -5.991676330566406, [-8.951202392578125, -3.0321502685546875])]",124439808,gpt2
A wagon is a,toy.,wagon,toy,22,"[(-9.750747680664062, -4.875373840332031, [-6.884239196777344, -2.8665084838867188]), (-10.309806823730469, -5.154903411865234, [-7.141349792480469, -3.16845703125]), (-8.904548645019531, -4.452274322509766, [-6.998626708984375, -1.9059219360351562]), (-10.8594970703125, -5.42974853515625, [-7.348304748535156, -3.5111923217773438]), (-8.766777038574219, -4.383388519287109, [-6.238311767578125, -2.5284652709960938])]",124439808,gpt2
A kite is a,toy.,kite,toy,23,"[(-10.124183654785156, -5.062091827392578, [-6.185157775878906, -3.93902587890625]), (-10.678230285644531, -5.339115142822266, [-7.0918426513671875, -3.5863876342773438]), (-10.001182556152344, -5.000591278076172, [-6.384193420410156, -3.6169891357421875]), (-9.3336181640625, -4.66680908203125, [-6.290657043457031, -3.0429611206054688]), (-10.180091857910156, -5.090045928955078, [-6.4867095947265625, -3.6933822631835938])]",124439808,gpt2
A train is a,toy.,train,toy,24,"[(-11.812217712402344, -5.906108856201172, [-8.154708862304688, -3.6575088500976562]), (-10.618003845214844, -5.309001922607422, [-8.26885986328125, -2.3491439819335938]), (-11.989913940429688, -5.994956970214844, [-8.057472229003906, -3.9324417114257812]), (-10.932197570800781, -5.466098785400391, [-7.8984832763671875, -3.0337142944335938]), (-10.963569641113281, -5.481784820556641, [-8.032005310058594, -2.9315643310546875])]",124439808,gpt2
A tricycle is a,toy.,tricycle,toy,25,"[(-10.939498901367188, -5.469749450683594, [-6.289863586425781, -4.649635314941406]), (-10.226615905761719, -5.113307952880859, [-7.339912414550781, -2.8867034912109375]), (-11.2645263671875, -5.63226318359375, [-6.56158447265625, -4.70294189453125]), (-11.716827392578125, -5.8584136962890625, [-7.683158874511719, -4.033668518066406]), (-9.681007385253906, -4.840503692626953, [-5.8357086181640625, -3.8452987670898438])]",124439808,gpt2
A coloring book is a,toy.,coloring book,toy,26,"[(-9.871505737304688, -4.935752868652344, [-7.195648193359375, -2.6758575439453125]), (-9.668266296386719, -4.834133148193359, [-7.2272186279296875, -2.4410476684570312]), (-8.577880859375, -4.2889404296875, [-6.217170715332031, -2.3607101440429688]), (-9.712318420410156, -4.856159210205078, [-7.53326416015625, -2.1790542602539062]), (-9.303054809570312, -4.651527404785156, [-6.476348876953125, -2.8267059326171875])]",124439808,gpt2
Crayons are,toys.,crayons,toy,27,"[(-12.610618591308594, -6.305309295654297, [-10.653717041015625, -1.9569015502929688]), (-13.031463623046875, -6.5157318115234375, [-10.983993530273438, -2.0474700927734375]), (-12.011470794677734, -6.005735397338867, [-10.339000701904297, -1.6724700927734375]), (-12.291191101074219, -6.145595550537109, [-10.19451904296875, -2.0966720581054688]), (-12.764015197753906, -6.382007598876953, [-10.836982727050781, -1.927032470703125])]",124439808,gpt2
A truck is a,toy.,truck,toy,28,"[(-11.108154296875, -5.5540771484375, [-6.351402282714844, -4.756752014160156]), (-10.849372863769531, -5.424686431884766, [-7.337028503417969, -3.5123443603515625]), (-8.910606384277344, -4.455303192138672, [-6.9228668212890625, -1.9877395629882812]), (-10.454910278320312, -5.227455139160156, [-7.6467742919921875, -2.808135986328125]), (-9.81024169921875, -4.905120849609375, [-6.9627227783203125, -2.8475189208984375])]",124439808,gpt2
A puzzle is a,toy.,puzzle,toy,29,"[(-10.00054931640625, -5.000274658203125, [-7.4375457763671875, -2.5630035400390625]), (-8.544364929199219, -4.272182464599609, [-6.960662841796875, -1.5837020874023438]), (-10.809814453125, -5.4049072265625, [-8.233955383300781, -2.5758590698242188]), (-10.322731018066406, -5.161365509033203, [-8.04876708984375, -2.2739639282226562]), (-10.0755615234375, -5.03778076171875, [-7.9880218505859375, -2.0875396728515625])]",124439808,gpt2
A fire engine is a,toy.,fire engine,toy,30,"[(-11.301742553710938, -5.650871276855469, [-7.813911437988281, -3.4878311157226562]), (-11.583221435546875, -5.7916107177734375, [-8.243499755859375, -3.3397216796875]), (-11.725151062011719, -5.862575531005859, [-8.329757690429688, -3.3953933715820312]), (-11.535774230957031, -5.767887115478516, [-8.059112548828125, -3.4766616821289062]), (-11.13055419921875, -5.565277099609375, [-8.187896728515625, -2.942657470703125])]",124439808,gpt2
A balloon is a,toy.,balloon,toy,31,"[(-9.413482666015625, -4.7067413330078125, [-5.934364318847656, -3.4791183471679688]), (-9.215103149414062, -4.607551574707031, [-6.252777099609375, -2.9623260498046875]), (-8.641632080078125, -4.3208160400390625, [-5.995063781738281, -2.6465682983398438]), (-10.772483825683594, -5.386241912841797, [-6.490501403808594, -4.281982421875]), (-10.339935302734375, -5.1699676513671875, [-7.0997772216796875, -3.2401580810546875])]",124439808,gpt2
Skates are,toys.,skates,toy,32,"[(-11.588813781738281, -5.794406890869141, [-9.786834716796875, -1.8019790649414062]), (-12.5113525390625, -6.25567626953125, [-10.179954528808594, -2.3313980102539062]), (-12.818832397460938, -6.409416198730469, [-10.48577880859375, -2.3330535888671875]), (-12.242027282714844, -6.121013641357422, [-9.873092651367188, -2.3689346313476562]), (-11.869964599609375, -5.9349822998046875, [-9.730140686035156, -2.1398239135742188])]",124439808,gpt2
A baseball is a,toy.,baseball,toy,33,"[(-9.536605834960938, -4.768302917480469, [-8.266357421875, -1.2702484130859375]), (-9.591171264648438, -4.795585632324219, [-8.164886474609375, -1.4262847900390625]), (-8.434165954589844, -4.217082977294922, [-6.994377136230469, -1.439788818359375]), (-7.678466796875, -3.8392333984375, [-6.1722259521484375, -1.5062408447265625]), (-8.559074401855469, -4.279537200927734, [-6.704627990722656, -1.8544464111328125])]",124439808,gpt2
A drum is a,toy.,drum,toy,34,"[(-10.417213439941406, -5.208606719970703, [-7.519996643066406, -2.897216796875]), (-10.131965637207031, -5.065982818603516, [-7.323158264160156, -2.808807373046875]), (-11.218513488769531, -5.609256744384766, [-7.832786560058594, -3.3857269287109375]), (-10.988212585449219, -5.494106292724609, [-7.660957336425781, -3.3272552490234375]), (-10.868820190429688, -5.434410095214844, [-6.95233154296875, -3.9164886474609375])]",124439808,gpt2
A football is a,toy.,football,toy,35,"[(-8.378227233886719, -4.189113616943359, [-6.979042053222656, -1.3991851806640625]), (-10.88775634765625, -5.443878173828125, [-9.112457275390625, -1.775299072265625]), (-9.943962097167969, -4.971981048583984, [-8.499481201171875, -1.4444808959960938]), (-10.458969116210938, -5.229484558105469, [-8.936904907226562, -1.522064208984375]), (-10.168907165527344, -5.084453582763672, [-8.686126708984375, -1.4827804565429688])]",124439808,gpt2
A game is a,toy.,game,toy,36,"[(-9.661544799804688, -4.830772399902344, [-8.051338195800781, -1.6102066040039062]), (-10.220596313476562, -5.110298156738281, [-8.589706420898438, -1.630889892578125]), (-9.283203125, -4.6416015625, [-7.747283935546875, -1.535919189453125]), (-10.068931579589844, -5.034465789794922, [-8.699874877929688, -1.3690567016601562]), (-10.444381713867188, -5.222190856933594, [-9.031524658203125, -1.4128570556640625])]",124439808,gpt2
A swing is a,toy.,swing,toy,37,"[(-12.802757263183594, -6.401378631591797, [-10.5133056640625, -2.2894515991210938]), (-11.631942749023438, -5.815971374511719, [-9.941825866699219, -1.6901168823242188]), (-11.811660766601562, -5.905830383300781, [-9.545448303222656, -2.2662124633789062]), (-11.889640808105469, -5.944820404052734, [-9.072792053222656, -2.8168487548828125]), (-12.308059692382812, -6.154029846191406, [-9.530006408691406, -2.7780532836914062])]",124439808,gpt2
A boat is a,toy.,boat,toy,38,"[(-9.628372192382812, -4.814186096191406, [-7.1749420166015625, -2.45343017578125]), (-8.612342834472656, -4.306171417236328, [-6.2253570556640625, -2.3869857788085938]), (-10.158897399902344, -5.079448699951172, [-7.505218505859375, -2.6536788940429688]), (-9.456825256347656, -4.728412628173828, [-7.397216796875, -2.0596084594726562]), (-9.200027465820312, -4.600013732910156, [-6.854820251464844, -2.3452072143554688])]",124439808,gpt2
A monopoly is a,toy.,monopoly,toy,39,"[(-12.840171813964844, -6.420085906982422, [-10.030601501464844, -2.8095703125]), (-13.815803527832031, -6.907901763916016, [-10.962425231933594, -2.8533782958984375]), (-13.156623840332031, -6.578311920166016, [-10.55999755859375, -2.5966262817382812]), (-12.767463684082031, -6.383731842041016, [-10.768424987792969, -1.9990386962890625]), (-13.0357666015625, -6.51788330078125, [-10.158638000488281, -2.8771286010742188])]",124439808,gpt2
A sled is a,toy.,sled,toy,40,"[(-10.200210571289062, -5.100105285644531, [-6.8878631591796875, -3.312347412109375]), (-9.67108154296875, -4.835540771484375, [-6.778068542480469, -2.8930130004882812]), (-11.495063781738281, -5.747531890869141, [-7.7165374755859375, -3.7785263061523438]), (-9.887168884277344, -4.943584442138672, [-6.698158264160156, -3.1890106201171875]), (-10.635292053222656, -5.317646026611328, [-7.203392028808594, -3.4319000244140625])]",124439808,gpt2
A seesaw is a,toy.,seesaw,toy,41,"[(-11.224395751953125, -5.6121978759765625, [-7.7973785400390625, -3.4270172119140625]), (-11.207138061523438, -5.603569030761719, [-7.634498596191406, -3.5726394653320312]), (-12.298667907714844, -6.149333953857422, [-8.103805541992188, -4.194862365722656]), (-11.973724365234375, -5.9868621826171875, [-7.888374328613281, -4.085350036621094]), (-11.947128295898438, -5.973564147949219, [-7.484596252441406, -4.462532043457031])]",124439808,gpt2
Stilts are,toys.,stilts,toy,42,"[(-11.708541870117188, -5.854270935058594, [-9.515556335449219, -2.1929855346679688]), (-12.125091552734375, -6.0625457763671875, [-9.30401611328125, -2.821075439453125]), (-12.617820739746094, -6.308910369873047, [-9.902008056640625, -2.7158126831054688]), (-12.28900146484375, -6.144500732421875, [-9.879325866699219, -2.4096755981445312]), (-12.133064270019531, -6.066532135009766, [-9.448974609375, -2.6840896606445312])]",124439808,gpt2
Checkers are,toys.,checkers,toy,43,"[(-14.165359497070312, -7.082679748535156, [-11.286170959472656, -2.8791885375976562]), (-15.692794799804688, -7.846397399902344, [-13.508193969726562, -2.184600830078125]), (-14.369804382324219, -7.184902191162109, [-12.131599426269531, -2.2382049560546875]), (-15.013114929199219, -7.506557464599609, [-12.307411193847656, -2.7057037353515625]), (-14.178482055664062, -7.089241027832031, [-12.09808349609375, -2.0803985595703125])]",124439808,gpt2
A bat is a,toy.,bat,toy,44,"[(-9.338340759277344, -4.669170379638672, [-6.7112579345703125, -2.6270828247070312]), (-8.290939331054688, -4.145469665527344, [-5.609619140625, -2.6813201904296875]), (-8.172065734863281, -4.086032867431641, [-6.410026550292969, -1.7620391845703125]), (-8.311302185058594, -4.155651092529297, [-6.4722747802734375, -1.8390274047851562]), (-9.023178100585938, -4.511589050292969, [-6.662384033203125, -2.3607940673828125])]",124439808,gpt2
A car is a,toy.,car,toy,45,"[(-8.287506103515625, -4.1437530517578125, [-5.827613830566406, -2.4598922729492188]), (-9.270240783691406, -4.635120391845703, [-6.187141418457031, -3.083099365234375]), (-7.99603271484375, -3.998016357421875, [-5.935462951660156, -2.0605697631835938]), (-8.787284851074219, -4.393642425537109, [-6.569419860839844, -2.217864990234375]), (-8.484329223632812, -4.242164611816406, [-6.408988952636719, -2.0753402709960938])]",124439808,gpt2
An airplane is a,toy.,airplane,toy,46,"[(-8.434173583984375, -4.2170867919921875, [-6.661277770996094, -1.7728958129882812]), (-9.858421325683594, -4.929210662841797, [-7.3811187744140625, -2.4773025512695312]), (-8.423332214355469, -4.211666107177734, [-6.917236328125, -1.5060958862304688]), (-8.35638427734375, -4.178192138671875, [-6.573577880859375, -1.782806396484375]), (-8.84375, -4.421875, [-6.4906463623046875, -2.3531036376953125])]",124439808,gpt2
A bicycle is a,toy.,bicycle,toy,47,"[(-9.657157897949219, -4.828578948974609, [-6.672332763671875, -2.9848251342773438]), (-9.923492431640625, -4.9617462158203125, [-7.361793518066406, -2.5616989135742188]), (-9.177383422851562, -4.588691711425781, [-6.852294921875, -2.3250885009765625]), (-7.671409606933594, -3.835704803466797, [-5.83270263671875, -1.8387069702148438]), (-9.108688354492188, -4.554344177246094, [-6.2452545166015625, -2.863433837890625])]",124439808,gpt2
A tractor is a,toy.,tractor,toy,48,"[(-10.590744018554688, -5.295372009277344, [-6.954750061035156, -3.6359939575195312]), (-12.10009765625, -6.050048828125, [-7.2935943603515625, -4.8065032958984375]), (-9.782325744628906, -4.891162872314453, [-7.9373931884765625, -1.8449325561523438]), (-12.490333557128906, -6.245166778564453, [-8.305412292480469, -4.1849212646484375]), (-10.97772216796875, -5.488861083984375, [-6.9847259521484375, -3.9929962158203125])]",124439808,gpt2
A sandbox is a,toy.,sandbox,toy,49,"[(-10.142578125, -5.0712890625, [-7.80169677734375, -2.34088134765625]), (-10.632965087890625, -5.3164825439453125, [-7.7909393310546875, -2.8420257568359375]), (-12.510688781738281, -6.255344390869141, [-8.768531799316406, -3.742156982421875]), (-10.318351745605469, -5.159175872802734, [-7.921821594238281, -2.3965301513671875]), (-10.025527954101562, -5.012763977050781, [-7.8018341064453125, -2.22369384765625])]",124439808,gpt2
A bike is a,toy.,bike,toy,50,"[(-7.869316101074219, -3.9346580505371094, [-6.571128845214844, -1.298187255859375]), (-8.838615417480469, -4.419307708740234, [-6.7816619873046875, -2.0569534301757812]), (-8.956947326660156, -4.478473663330078, [-7.0059356689453125, -1.9510116577148438]), (-8.650344848632812, -4.325172424316406, [-7.310905456542969, -1.3394393920898438]), (-8.525482177734375, -4.2627410888671875, [-6.376777648925781, -2.1487045288085938])]",124439808,gpt2
A bow and arrow is a,toy.,bow and arrow,toy,51,"[(-9.698738098144531, -4.849369049072266, [-7.324302673339844, -2.3744354248046875]), (-8.841972351074219, -4.420986175537109, [-6.574562072753906, -2.2674102783203125]), (-9.994827270507812, -4.997413635253906, [-7.5775146484375, -2.4173126220703125]), (-10.762588500976562, -5.381294250488281, [-8.595863342285156, -2.1667251586914062]), (-10.495750427246094, -5.247875213623047, [-7.7752685546875, -2.7204818725585938])]",124439808,gpt2
A rope is a,toy.,rope,toy,52,"[(-11.592750549316406, -5.796375274658203, [-8.691795349121094, -2.9009552001953125]), (-10.906761169433594, -5.453380584716797, [-8.174041748046875, -2.7327194213867188]), (-11.583061218261719, -5.791530609130859, [-8.32904052734375, -3.2540206909179688]), (-10.212882995605469, -5.106441497802734, [-7.570716857910156, -2.6421661376953125]), (-11.018875122070312, -5.509437561035156, [-8.615951538085938, -2.402923583984375])]",124439808,gpt2
Dishes are,toys.,dishes,toy,53,"[(-12.544227600097656, -6.272113800048828, [-10.877433776855469, -1.6667938232421875]), (-13.127250671386719, -6.563625335693359, [-11.016845703125, -2.1104049682617188]), (-12.761436462402344, -6.380718231201172, [-10.107810974121094, -2.65362548828125]), (-12.231788635253906, -6.115894317626953, [-10.408409118652344, -1.8233795166015625]), (-11.957298278808594, -5.978649139404297, [-10.229598999023438, -1.7276992797851562])]",124439808,gpt2
Cards are,toys.,cards,toy,54,"[(-12.018569946289062, -6.009284973144531, [-10.39056396484375, -1.6280059814453125]), (-11.692481994628906, -5.846240997314453, [-9.683303833007812, -2.0091781616210938]), (-12.291473388671875, -6.1457366943359375, [-10.463203430175781, -1.8282699584960938]), (-12.225738525390625, -6.1128692626953125, [-10.216361999511719, -2.0093765258789062]), (-12.968399047851562, -6.484199523925781, [-11.260208129882812, -1.70819091796875])]",124439808,gpt2
A mitt is a,toy.,mitt,toy,55,"[(-10.574188232421875, -5.2870941162109375, [-7.5649261474609375, -3.0092620849609375]), (-10.524826049804688, -5.262413024902344, [-8.169837951660156, -2.3549880981445312]), (-9.901718139648438, -4.950859069824219, [-6.8838043212890625, -3.017913818359375]), (-9.652206420898438, -4.826103210449219, [-7.0118560791015625, -2.640350341796875]), (-10.156707763671875, -5.0783538818359375, [-7.471076965332031, -2.6856307983398438])]",124439808,gpt2
A horse is a,toy.,horse,toy,56,"[(-8.639938354492188, -4.319969177246094, [-6.6385040283203125, -2.001434326171875]), (-9.226188659667969, -4.613094329833984, [-7.387214660644531, -1.8389739990234375]), (-8.832649230957031, -4.416324615478516, [-6.6927947998046875, -2.1398544311523438]), (-9.413154602050781, -4.706577301025391, [-7.106597900390625, -2.3065567016601562]), (-9.516250610351562, -4.758125305175781, [-7.295967102050781, -2.2202835083007812])]",124439808,gpt2
A gun is a,toy.,gun,toy,57,"[(-6.8490447998046875, -3.4245223999023438, [-5.001045227050781, -1.8479995727539062]), (-7.273887634277344, -3.636943817138672, [-5.563575744628906, -1.7103118896484375]), (-7.0777435302734375, -3.5388717651367188, [-5.162361145019531, -1.9153823852539062]), (-7.185699462890625, -3.5928497314453125, [-5.7093505859375, -1.476348876953125]), (-6.810752868652344, -3.405376434326172, [-5.0492095947265625, -1.7615432739257812])]",124439808,gpt2
Animals are,toys.,animals,toy,58,"[(-11.591255187988281, -5.795627593994141, [-10.012535095214844, -1.5787200927734375]), (-11.910331726074219, -5.955165863037109, [-10.210723876953125, -1.6996078491210938]), (-13.757171630859375, -6.8785858154296875, [-11.635093688964844, -2.1220779418945312]), (-12.200180053710938, -6.100090026855469, [-10.582374572753906, -1.6178054809570312]), (-12.300498962402344, -6.150249481201172, [-10.806007385253906, -1.4944915771484375])]",124439808,gpt2
A tennis racket is a,toy.,tennis racket,toy,59,"[(-10.194183349609375, -5.0970916748046875, [-6.319236755371094, -3.8749465942382812]), (-9.6708984375, -4.83544921875, [-7.05230712890625, -2.61859130859375]), (-9.021720886230469, -4.510860443115234, [-6.2853851318359375, -2.7363357543945312]), (-8.038681030273438, -4.019340515136719, [-6.580558776855469, -1.4581222534179688]), (-9.802467346191406, -4.901233673095703, [-7.2564697265625, -2.5459976196289062])]",124439808,gpt2
Books are,toys.,books,toy,60,"[(-14.042884826660156, -7.021442413330078, [-12.332206726074219, -1.7106781005859375]), (-13.929901123046875, -6.9649505615234375, [-11.814773559570312, -2.1151275634765625]), (-14.131988525390625, -7.0659942626953125, [-11.902503967285156, -2.2294845581054688]), (-13.951057434082031, -6.975528717041016, [-12.329719543457031, -1.621337890625]), (-13.881507873535156, -6.940753936767578, [-11.777725219726562, -2.1037826538085938])]",124439808,gpt2
