ppo, pdo, tpo, tdo
a president supplied a beer to a guy .,a president supplied a guy a beer .,the reader bought the bell for the captain .,the reader bought the captain the bell .
a winner threw a knife to a cop .,a winner threw a cop a knife .,the kid designed the crystal for the opponent .,the kid designed the opponent the crystal .
the professor left the chicken for the secretary .,the professor left the secretary the chicken .,a cousin threw a juice to a captain .,a cousin threw a captain a juice .
the man got the meal for the cop .,the man got the cop the meal .,a singer sold a bottle to a club .,a singer sold a club a bottle .
the colonel kept the beer for the army .,the colonel kept the army the beer .,a secretary supplied a coffee to a guest .,a secretary supplied a guest a coffee .
a child promised a computer to a boy .,a child promised a boy a computer .,the worker found the camera for the army .,the worker found the army the camera .
the opponent saved the cheese for the lady .,the opponent saved the lady the cheese .,a princess showed a juice to a hero .,a princess showed a hero a juice .
an aunt fed a salad to an uncle .,an aunt fed an uncle a salad .,the employee designed the camera for the guy .,the employee designed the guy the camera .
the wife promised the iron to the actress .,the wife promised the actress the iron .,a father bought a juice for a sheriff .,a father bought a sheriff a juice .
the king sent the chicken to the club .,the king sent the club the chicken .,a cop kept an instrument for a band .,a cop kept a band an instrument .
the scientist threw the flower to the princess .,the scientist threw the princess the flower .,an uncle delivered a coffee for a wife .,an uncle delivered a wife a coffee .
the woman brought the chicken to the president .,the woman brought the president the chicken .,a prince drew a jacket for an opponent .,a prince drew an opponent a jacket .
the princess drew the box for the sheriff .,the princess drew the sheriff the box .,a manager brought a salad to a club .,a manager brought a club a salad .
a guy supplied a meal to a winner .,a guy supplied a winner a meal .,the uncle drew the bowl for the worker .,the uncle drew the worker the bowl .
the reader sold the cheese to the president .,the reader sold the president the cheese .,a physician saved a beer for a buddy .,a physician saved a buddy a beer .
a prince promised a cigarette to a king .,a prince promised a king a cigarette .,the manager found the juice for the lady .,the manager found the lady the juice .
a brother showed a tea to a band .,a brother showed a band a tea .,the manager caught the bowl for the soldier .,the manager caught the soldier the bowl .
the father showed the glass to the club .,the father showed the club the glass .,a sheriff left a knife for a band .,a sheriff left a band a knife .
the buddy kept the key for the club .,the buddy kept the club the key .,a mayor supplied a coffee to a daughter .,a mayor supplied a daughter a coffee .
the woman found the coffee for the club .,the woman found the club the coffee .,a doctor fed a candy to a guest .,a doctor fed a guest a candy .
the hero supplied the meal to the daughter .,the hero supplied the daughter the meal .,a nurse kept a hat for an uncle .,a nurse kept an uncle a hat .
the lawyer got the hat for the secretary .,the lawyer got the secretary the hat .,a boy fed a cheese to a father .,a boy fed a father a cheese .
a man supplied a coffee to a kid .,a man supplied a kid a coffee .,the son saved the meal for the professor .,the son saved the professor the meal .
the father kept the chicken for the administration .,the father kept the administration the chicken .,a friend threw a meal to a bishop .,a friend threw a bishop a meal .
the employer fed the candy to the guest .,the employer fed the guest the candy .,a lawyer kept a guitar for a president .,a lawyer kept a president a guitar .
a cop delivered a beer for a child .,a cop delivered a child a beer .,the scientist showed the pie to the company .,the scientist showed the company the pie .
a kid saved a coat for a club .,a kid saved a club a coat .,the man sold the plate to the administration .,the man sold the administration the plate .
a colonel found a cheese for a corporation .,a colonel found a corporation a cheese .,the prince fed the pie to the princess .,the prince fed the princess the pie .
an aunt saved an anchor for a business .,an aunt saved a business an anchor .,the author sold the glass to the father .,the author sold the father the glass .
an administration designed a bell for a club .,an administration designed a club a bell .,the prince took the crystal to the girl .,the prince took the girl the crystal .
a king made a television for a business .,a king made a business a television .,the brother threw the candy to the hero .,the brother threw the hero the candy .
the company designed the newspaper for the corporation .,the company designed the corporation the newspaper .,a singer fed a salad to a chief .,a singer fed a chief a salad .
a hero threw a chicken to an employer .,a hero threw an employer a chicken .,the priest left the camera for the corporation .,the priest left the corporation the camera .
a captain promised a chicken to an actress .,a captain promised an actress a chicken .,the lawyer got the salad for the bishop .,the lawyer got the bishop the salad .
the employee gave the salad to the child .,the employee gave the child the salad .,a president caught a cigarette for a priest .,a president caught a priest a cigarette .
the uncle supplied the coffee to the author .,the uncle supplied the author the coffee .,a candidate found a beer for a corporation .,a candidate found a corporation a beer .
the cousin got the juice for the band .,the cousin got the band the juice .,a soldier showed a tea to a corporation .,a soldier showed a corporation a tea .
a teacher saved a cheese for a business .,a teacher saved a business a cheese .,the brother supplied the juice to the army .,the brother supplied the army the juice .
the guest promised the beer to the colonel .,the guest promised the colonel the beer .,a champion caught a machine for a president .,a champion caught a president a machine .
a bishop found a cheese for an opponent .,a bishop found an opponent a cheese .,the professor brought the meal to the kid .,the professor brought the kid the meal .
a guest brought a gun to a club .,a guest brought a club a gun .,the worker left the cup for the priest .,the worker left the priest the cup .
a pilot threw a cheese to a mother .,a pilot threw a mother a cheese .,the prince delivered the coffee for the student .,the prince delivered the student the coffee .
the actress showed the cheese to the buddy .,the actress showed the buddy the cheese .,a chief found a chocolate for a boy .,a chief found a boy a chocolate .
the brother promised the salad to the minister .,the brother promised the minister the salad .,a colonel drew a key for an administration .,a colonel drew an administration a key .
the adult sold the tea to the band .,the adult sold the band the tea .,a friend kept a candy for a captain .,a friend kept a captain a candy .
a teacher promised a cup to a brother .,a teacher promised a brother a cup .,the lady bought the meal for the candidate .,the lady bought the candidate the meal .
a lady gave a chicken to a daughter .,a lady gave a daughter a chicken .,the friend drew the camera for the author .,the friend drew the author the camera .
the kid caught the pot for the employee .,the kid caught the employee the pot .,a priest promised a juice to a guest .,a priest promised a guest a juice .
the winner fed the chocolate to the pilot .,the winner fed the pilot the chocolate .,a reader delivered a beer for an employee .,a reader delivered an employee a beer .
the doctor bought the cup for the guy .,the doctor bought the guy the cup .,a leader threw a bottle to a cousin .,a leader threw a cousin a bottle .
a soldier sent a coffee to an administration .,a soldier sent an administration a coffee .,the adult made the glass for the corporation .,the adult made the corporation the glass .
the son fed the chicken to the nurse .,the son fed the nurse the chicken .,an employer made a motor for an administration .,an employer made an administration a motor .
a cousin sold a flower to a woman .,a cousin sold a woman a flower .,the author drew the motor for the business .,the author drew the business the motor .
the pilot supplied the beer to the child .,the pilot supplied the child the beer .,a lady purchased an instrument for a husband .,a lady purchased a husband an instrument .
the champion saved the cheese for the administration .,the champion saved the administration the cheese .,a singer sold a candy to a club .,a singer sold a club a candy .
a student took a pot to an employee .,a student took an employee a pot .,the adult saved the pie for the company .,the adult saved the company the pie .
the doctor brought the chicken to the band .,the doctor brought the band the chicken .,a worker bought a cheese for a king .,a worker bought a king a cheese .
the candidate saved the salad for the army .,the candidate saved the army the salad .,a doctor promised a bottle to a friend .,a doctor promised a friend a bottle .
a writer made a jacket for a kid .,a writer made a kid a jacket .,the father showed the chocolate to the administration .,the father showed the administration the chocolate .
a reader made a crystal for a corporation .,a reader made a corporation a crystal .,the champion showed the bag to the winner .,the champion showed the winner the bag .
the child purchased the chocolate for the wife .,the child purchased the wife the chocolate .,a manager promised a meal to a student .,a manager promised a student a meal .
an employee showed a cheese to a corporation .,an employee showed a corporation a cheese .,the sheriff made the hat for the champion .,the sheriff made the champion the hat .
the opponent threw the camera to the president .,the opponent threw the president the camera .,a corporation designed a motor for a company .,a corporation designed a company a motor .
a colonel sent an engine to a singer .,a colonel sent a singer an engine .,the student kept the coffee for the company .,the student kept the company the coffee .
the daughter sent the beer to the son .,the daughter sent the son the beer .,a physician purchased a cheese for a secretary .,a physician purchased a secretary a cheese .
the colonel fed the candy to the princess .,the colonel fed the princess the candy .,a band designed a motor for an administration .,a band designed an administration a motor .
a prince threw a bag to an opponent .,a prince threw an opponent a bag .,the candidate delivered the television for the parent .,the candidate delivered the parent the television .
the captain threw the coffee to the father .,the captain threw the father the coffee .,a sheriff got a meal for a company .,a sheriff got a company a meal .
a chief made a bowl for a company .,a chief made a company a bowl .,the daughter showed the chicken to the author .,the daughter showed the author the chicken .
the doctor drew the knife for the band .,the doctor drew the band the knife .,a pilot took a ball to a sheriff .,a pilot took a sheriff a ball .
an author brought a glass to a prince .,an author brought a prince a glass .,the secretary kept the log for the husband .,the secretary kept the husband the log .
the partner brought the chocolate to the guest .,the partner brought the guest the chocolate .,an adult kept a card for a band .,an adult kept a band a card .
a worker left a meal for a business .,a worker left a business a meal .,the husband gave the pie to the prince .,the husband gave the prince the pie .
a club designed a plate for a band .,a club designed a band a plate .,the prince showed the chocolate to the army .,the prince showed the army the chocolate .
a kid found a chocolate for a student .,a kid found a student a chocolate .,the nurse gave the juice to the administration .,the nurse gave the administration the juice .
a minister made a telephone for an aunt .,a minister made an aunt a telephone .,the girl promised the salad to the mother .,the girl promised the mother the salad .
the scientist purchased the bottle for the club .,the scientist purchased the club the bottle .,a lady promised a juice to a prince .,a lady promised a prince a juice .
the priest sent the coffee to the club .,the priest sent the club the coffee .,an employee saved a beer for a friend .,an employee saved a friend a beer .
the husband left the box for the physician .,the husband left the physician the box .,a lawyer supplied a candy to a business .,a lawyer supplied a business a candy .
the manager designed the key for the candidate .,the manager designed the candidate the key .,a physician sold a juice to a corporation .,a physician sold a corporation a juice .
the lady promised the camera to the leader .,the lady promised the leader the camera .,a reader left a ball for a minister .,a reader left a minister a ball .
a king got a salad for a partner .,a king got a partner a salad .,the woman showed the tea to the club .,the woman showed the club the tea .
the scientist drew the key for the actress .,the scientist drew the actress the key .,a man sent a juice to an administration .,a man sent an administration a juice .
the hero saved the juice for the army .,the hero saved the army the juice .,a nurse promised a cup to a teacher .,a nurse promised a teacher a cup .
a manager threw a coffee to an employee .,a manager threw an employee a coffee .,the author delivered the newspaper for the winner .,the author delivered the winner the newspaper .
a teacher supplied a bowl to an administration .,a teacher supplied an administration a bowl .,the captain bought the chicken for the prince .,the captain bought the prince the chicken .
a girl got a motor for a president .,a girl got a president a motor .,the cop supplied the key to the physician .,the cop supplied the physician the key .
the chief found the chicken for the parent .,the chief found the parent the chicken .,a woman gave a meal to a pilot .,a woman gave a pilot a meal .
an employee fed a salad to a secretary .,an employee fed a secretary a salad .,the husband found the beer for the scientist .,the husband found the scientist the beer .
the employer took the button to the daughter .,the employer took the daughter the button .,a minister made a computer for a business .,a minister made a business a computer .
a mother supplied a coffee to a club .,a mother supplied a club a coffee .,the king caught the cigarette for the buddy .,the king caught the buddy the cigarette .
a sheriff promised an engine to a pilot .,a sheriff promised a pilot an engine .,the minister delivered the beer for the singer .,the minister delivered the singer the beer .
a kid left a box for a band .,a kid left a band a box .,the partner gave the telephone to the woman .,the partner gave the woman the telephone .
the reader bought the card for the lawyer .,the reader bought the lawyer the card .,a cousin threw a juice to a captain .,a cousin threw a captain a juice .
the brother brought the coffee to the manager .,the brother brought the manager the coffee .,a physician saved a beer for a buddy .,a physician saved a buddy a beer .
an employee threw a chicken to a lawyer .,an employee threw a lawyer a chicken .,the captain kept the cheese for the business .,the captain kept the business the cheese .
the girl brought the coffee to the band .,the girl brought the band the coffee .,a scientist caught a jacket for a minister .,a scientist caught a minister a jacket .
a physician showed a flower to a prince .,a physician showed a prince a flower .,the writer delivered the beer for the father .,the writer delivered the father the beer .
a lawyer drew a box for a cousin .,a lawyer drew a cousin a box .,the author sold the glass to the father .,the author sold the father the glass .
a guest promised a coat to a worker .,a guest promised a worker a coat .,the buddy caught the telephone for the author .,the buddy caught the author the telephone .
the candidate took the camera to the manager .,the candidate took the manager the camera .,a writer caught a button for a prince .,a writer caught a prince a button .
the girl found the tea for the administration .,the girl found the administration the tea .,a buddy sold a bowl to an actor .,a buddy sold an actor a bowl .
an adult sent a coffee to a child .,an adult sent a child a coffee .,the doctor bought the pie for the buddy .,the doctor bought the buddy the pie .
a buddy saved a coffee for a professor .,a buddy saved a professor a coffee .,the adult brought the log to the business .,the adult brought the business the log .
a champion bought a beer for a cousin .,a champion bought a cousin a beer .,the worker sent the salad to the actress .,the worker sent the actress the salad .
a nurse caught a button for a captain .,a nurse caught a captain a button .,the attorney gave the instrument to the partner .,the attorney gave the partner the instrument .
a child sent a juice to a club .,a child sent a club a juice .,the author drew the newspaper for the business .,the author drew the business the newspaper .
the manager designed the camera for the attorney .,the manager designed the attorney the camera .,a nurse threw a machine to a writer .,a nurse threw a writer a machine .
a pilot made a motor for a band .,a pilot made a band a motor .,the adult gave the button to the secretary .,the adult gave the secretary the button .
the scientist supplied the chicken to the girl .,the scientist supplied the girl the chicken .,an aunt drew a plate for a band .,an aunt drew a band a plate .
the friend brought the button to the minister .,the friend brought the minister the button .,a sheriff saved a cheese for an aunt .,a sheriff saved an aunt a cheese .
an actress bought a juice for a friend .,an actress bought a friend a juice .,the uncle brought the candy to the pilot .,the uncle brought the pilot the candy .
a hero bought a chicken for a priest .,a hero bought a priest a chicken .,the lady showed the box to the secretary .,the lady showed the secretary the box .
a singer left a pie for a kid .,a singer left a kid a pie .,the guy showed the tea to the soldier .,the guy showed the soldier the tea .
the actress threw the beer to the candidate .,the actress threw the candidate the beer .,a teacher purchased a telephone for a company .,a teacher purchased a company a telephone .
the secretary promised the machine to the sheriff .,the secretary promised the sheriff the machine .,a writer caught a button for a prince .,a writer caught a prince a button .
a prince promised a salad to an aunt .,a prince promised an aunt a salad .,the son delivered the candy for the husband .,the son delivered the husband the candy .
the mayor fed the salad to the manager .,the mayor fed the manager the salad .,a parent caught a book for a soldier .,a parent caught a soldier a book .
a guest delivered a chicken for a soldier .,a guest delivered a soldier a chicken .,the physician promised the plate to the priest .,the physician promised the priest the plate .
a colonel caught a flower for a manager .,a colonel caught a manager a flower .,the friend gave the anchor to the employer .,the friend gave the employer the anchor .
the friend found the coffee for the president .,the friend found the president the coffee .,an adult brought a candy to an administration .,an adult brought an administration a candy .
an actress fed a chicken to a mother .,an actress fed a mother a chicken .,the guest got the machine for the company .,the guest got the company the machine .
the employer supplied the cheese to the business .,the employer supplied the business the cheese .,a cousin drew a bell for a champion .,a cousin drew a champion a bell .
a winner sent a pie to a company .,a winner sent a company a pie .,the parent caught the cup for the author .,the parent caught the author the cup .
the worker gave the tea to the lawyer .,the worker gave the lawyer the tea .,a parent drew a bowl for an actress .,a parent drew an actress a bowl .
the daughter delivered the tea for the secretary .,the daughter delivered the secretary the tea .,a buddy threw an engine to a guy .,a buddy threw a guy an engine .
the friend fed the salad to the lawyer .,the friend fed the lawyer the salad .,a secretary got a pie for a lady .,a secretary got a lady a pie .
a chief drew a motor for a company .,a chief drew a company a motor .,the cop supplied the key to the physician .,the cop supplied the physician the key .
a president kept a candy for a priest .,a president kept a priest a candy .,the actor fed the meal to the teacher .,the actor fed the teacher the meal .
a friend designed a wire for a buddy .,a friend designed a buddy a wire .,the opponent took the computer to the guy .,the opponent took the guy the computer .
the uncle drew the log for the corporation .,the uncle drew the corporation the log .,a princess took a wire to a woman .,a princess took a woman a wire .
the parent fed the pie to the scientist .,the parent fed the scientist the pie .,a husband got a juice for a business .,a husband got a business a juice .
a teacher promised a chicken to a guest .,a teacher promised a guest a chicken .,the writer got the key for the band .,the writer got the band the key .
a champion threw a computer to a doctor .,a champion threw a doctor a computer .,the cousin bought the cheese for the student .,the cousin bought the student the cheese .
the child fed the candy to the wife .,the child fed the wife the candy .,a sheriff saved a cheese for an aunt .,a sheriff saved an aunt a cheese .
a lawyer sold a knife to an opponent .,a lawyer sold an opponent a knife .,the physician got the hat for the administration .,the physician got the administration the hat .
a lady delivered an instrument for a cop .,a lady delivered a cop an instrument .,the student supplied the chicken to the partner .,the student supplied the partner the chicken .
an uncle made a machine for a company .,an uncle made a company a machine .,the woman promised the log to the nurse .,the woman promised the nurse the log .
a prince showed a newspaper to a corporation .,a prince showed a corporation a newspaper .,the son got the card for the administration .,the son got the administration the card .
a partner kept a meal for an army .,a partner kept an army a meal .,the father sold the juice to the company .,the father sold the company the juice .
a teacher bought a camera for a winner .,a teacher bought a winner a camera .,the man threw the newspaper to the kid .,the man threw the kid the newspaper .
a priest left a juice for a club .,a priest left a club a juice .,the lawyer sent the pie to the corporation .,the lawyer sent the corporation the pie .
the chief threw the anchor to the nurse .,the chief threw the nurse the anchor .,a princess delivered a cheese for a professor .,a princess delivered a professor a cheese .
an adult sold a beer to a man .,an adult sold a man a beer .,the writer saved the coffee for the reader .,the writer saved the reader the coffee .
the champion sold the beer to the adult .,the champion sold the adult the beer .,a singer left a juice for a company .,a singer left a company a juice .
the uncle sold the hat to the champion .,the uncle sold the champion the hat .,a chief drew a crystal for a brother .,a chief drew a brother a crystal .
the actor promised the box to the bishop .,the actor promised the bishop the box .,a physician purchased a flower for a nurse .,a physician purchased a nurse a flower .
the actress gave the coffee to the hero .,the actress gave the hero the coffee .,a son bought a chicken for a scientist .,a son bought a scientist a chicken .
the captain purchased the bag for the army .,the captain purchased the army the bag .,a candidate took a plate to an aunt .,a candidate took an aunt a plate .
a buddy designed a box for an actress .,a buddy designed an actress a box .,the lawyer showed the coffee to the teacher .,the lawyer showed the teacher the coffee .
an aunt supplied a button to a lawyer .,an aunt supplied a lawyer a button .,the actor saved the salad for the club .,the actor saved the club the salad .
a father brought a beer to a corporation .,a father brought a corporation a beer .,the wife bought the juice for the husband .,the wife bought the husband the juice .
the singer gave the juice to the business .,the singer gave the business the juice .,a son left a telephone for an uncle .,a son left an uncle a telephone .
a president promised a cheese to a wife .,a president promised a wife a cheese .,the reader purchased the meal for the army .,the reader purchased the army the meal .
the worker sent the beer to the wife .,the worker sent the wife the beer .,a pilot found an iron for a lady .,a pilot found a lady an iron .
the singer designed the key for the nurse .,the singer designed the nurse the key .,a kid brought a television to an attorney .,a kid brought an attorney a television .
a guy delivered a beer for a teacher .,a guy delivered a teacher a beer .,the guest threw the pie to the manager .,the guest threw the manager the pie .
the manager promised the candy to the cop .,the manager promised the cop the candy .,a nurse bought a coffee for a hero .,a nurse bought a hero a coffee .
a husband found a card for an army .,a husband found an army a card .,the child sold the beer to the administration .,the child sold the administration the beer .
a man promised a meal to an attorney .,a man promised an attorney a meal .,the doctor got the juice for the winner .,the doctor got the winner the juice .
the cop bought the candy for the teacher .,the cop bought the teacher the candy .,an aunt supplied a beer to an army .,an aunt supplied an army a beer .
the actress supplied the chicken to the administration .,the actress supplied the administration the chicken .,a reader delivered a salad for a president .,a reader delivered a president a salad .
the manager sent the beer to the buddy .,the manager sent the buddy the beer .,a king drew a telephone for an author .,a king drew an author a telephone .
a sheriff purchased a key for a professor .,a sheriff purchased a professor a key .,the hero showed the tea to the child .,the hero showed the child the tea .
a king designed a log for a sheriff .,a king designed a sheriff a log .,the candidate gave the juice to the aunt .,the candidate gave the aunt the juice .
the administration designed the card for the band .,the administration designed the band the card .,an attorney showed a tea to a reader .,an attorney showed a reader a tea .
the student took the bowl to the wife .,the student took the wife the bowl .,a guy found a beer for a company .,a guy found a company a beer .
the cop took the cup to the employee .,the cop took the employee the cup .,a colonel saved a candy for a nurse .,a colonel saved a nurse a candy .
a company designed a machine for a business .,a company designed a business a machine .,the author sent the instrument to the prince .,the author sent the prince the instrument .
an uncle bought a plate for a lady .,an uncle bought a lady a plate .,the son sent the computer to the band .,the son sent the band the computer .
a kid found a coffee for a cop .,a kid found a cop a coffee .,the president sold the knife to the corporation .,the president sold the corporation the knife .
a prince gave an engine to an administration .,a prince gave an administration an engine .,the girl saved the wire for the business .,the girl saved the business the wire .
the sheriff caught the cigarette for the colonel .,the sheriff caught the colonel the cigarette .,a son took a newspaper to an adult .,a son took an adult a newspaper .
an employee took a bottle to a captain .,an employee took a captain a bottle .,the president purchased the wire for the corporation .,the president purchased the corporation the wire .
a cousin left a beer for a champion .,a cousin left a champion a beer .,the king threw the tea to the parent .,the king threw the parent the tea .
the hero supplied the chocolate to the prince .,the hero supplied the prince the chocolate .,a boy purchased a beer for a husband .,a boy purchased a husband a beer .
a doctor kept a pie for a band .,a doctor kept a band a pie .,the author sold the cheese to the company .,the author sold the company the cheese .
a student got a bottle for an attorney .,a student got an attorney a bottle .,the physician promised the juice to the opponent .,the physician promised the opponent the juice .
a leader bought a meal for a professor .,a leader bought a professor a meal .,the actor gave the beer to the corporation .,the actor gave the corporation the beer .
a cop bought a bottle for a girl .,a cop bought a girl a bottle .,the nurse showed the juice to the opponent .,the nurse showed the opponent the juice .
an aunt designed a bag for a brother .,an aunt designed a brother a bag .,the secretary sold the guitar to the administration .,the secretary sold the administration the guitar .
the actor supplied the pie to the manager .,the actor supplied the manager the pie .,an employer bought a card for a lady .,an employer bought a lady a card .
the cousin showed the salad to the aunt .,the cousin showed the aunt the salad .,a mother caught an engine for a writer .,a mother caught a writer an engine .
the author fed the salad to the cop .,the author fed the cop the salad .,a teacher drew an engine for a cousin .,a teacher drew a cousin an engine .
a writer showed a tea to an administration .,a writer showed an administration a tea .,the nurse caught the telephone for the physician .,the nurse caught the physician the telephone .
the king left the glass for the administration .,the king left the administration the glass .,a secretary promised a meal to a lady .,a secretary promised a lady a meal .
a winner drew a glass for an employee .,a winner drew an employee a glass .,the cousin gave the coffee to the army .,the cousin gave the army the coffee .
the boy sent the beer to the army .,the boy sent the army the beer .,a student purchased a crystal for a band .,a student purchased a band a crystal .
a soldier fed a salad to a brother .,a soldier fed a brother a salad .,the professor caught the glass for the nurse .,the professor caught the nurse the glass .
a pilot caught a key for a lady .,a pilot caught a lady a key .,the brother promised the tea to the opponent .,the brother promised the opponent the tea .
the employer bought the juice for the minister .,the employer bought the minister the juice .,a manager showed a book to a princess .,a manager showed a princess a book .
the minister fed the chicken to the friend .,the minister fed the friend the chicken .,an aunt delivered a tea for a king .,an aunt delivered a king a tea .
a writer threw a salad to a daughter .,a writer threw a daughter a salad .,the husband found the beer for the scientist .,the husband found the scientist the beer .
a teacher left a cheese for a company .,a teacher left a company a cheese .,the colonel threw the tea to the leader .,the colonel threw the leader the tea .
a professor threw an engine to a king .,a professor threw a king an engine .,the woman delivered the crystal for the soldier .,the woman delivered the soldier the crystal .
a guest got a pie for a corporation .,a guest got a corporation a pie .,the colonel promised the juice to the king .,the colonel promised the king the juice .
a writer promised a coffee to a lawyer .,a writer promised a lawyer a coffee .,the boy delivered the meal for the champion .,the boy delivered the champion the meal .
a pilot caught a wire for an author .,a pilot caught an author a wire .,the employer sent the juice to the club .,the employer sent the club the juice .
an adult took a camera to a buddy .,an adult took a buddy a camera .,the manager bought the juice for the wife .,the manager bought the wife the juice .
a brother made a telephone for an army .,a brother made an army a telephone .,the girl sold the tea to the worker .,the girl sold the worker the tea .
an uncle supplied a coffee to a friend .,an uncle supplied a friend a coffee .,the lawyer purchased the candy for the business .,the lawyer purchased the business the candy .
a chief caught a gun for a woman .,a chief caught a woman a gun .,the president sold the computer to the club .,the president sold the club the computer .
a lawyer sent a telephone to an army .,a lawyer sent an army a telephone .,the man purchased the meal for the physician .,the man purchased the physician the meal .
the adult made the guitar for the band .,the adult made the band the guitar .,a chief fed a cheese to a guest .,a chief fed a guest a cheese .
the brother supplied the tea to the mother .,the brother supplied the mother the tea .,a priest purchased a candy for an opponent .,a priest purchased an opponent a candy .
the daughter showed the anchor to the captain .,the daughter showed the captain the anchor .,a reader delivered a salad for a president .,a reader delivered a president a salad .
the priest sent the bag to the club .,the priest sent the club the bag .,a man purchased a candy for a sheriff .,a man purchased a sheriff a candy .
a woman promised a pot to a lady .,a woman promised a lady a pot .,the actor saved the salad for the club .,the actor saved the club the salad .
the captain showed the juice to the corporation .,the captain showed the corporation the juice .,a parent found a beer for a band .,a parent found a band a beer .
the nurse designed the gun for the parent .,the nurse designed the parent the gun .,a captain sent a chicken to an employer .,a captain sent an employer a chicken .
a mayor sent a bell to a guest .,a mayor sent a guest a bell .,the manager caught the bowl for the soldier .,the manager caught the soldier the bowl .
the uncle sent the tea to the club .,the uncle sent the club the tea .,a leader purchased a cheese for a corporation .,a leader purchased a corporation a cheese .
