preamble,stimulus,item,category,rank,"score (sum, mean, [list)",params,model
A teddy bear is a,toy.,teddy bear,toy,11,"[(-7.046688079833984, -3.523344039916992, [-4.662014007568359, -2.384674072265625]), (-8.252613067626953, -4.126306533813477, [-4.525596618652344, -3.7270164489746094]), (-7.829559326171875, -3.9147796630859375, [-4.85809326171875, -2.971466064453125]), (-6.418476104736328, -3.209238052368164, [-4.369174957275391, -2.0493011474609375]), (-7.9821624755859375, -3.9910812377929688, [-5.000083923339844, -2.9820785522460938])]",81912576,distilgpt2
A rocking horse is a,toy.,rocking horse,toy,12,"[(-10.067276000976562, -5.033638000488281, [-6.98333740234375, -3.0839385986328125]), (-10.455718994140625, -5.2278594970703125, [-7.756950378417969, -2.6987686157226562]), (-9.917465209960938, -4.958732604980469, [-8.469924926757812, -1.447540283203125]), (-9.65438461303711, -4.827192306518555, [-7.402553558349609, -2.2518310546875]), (-11.375556945800781, -5.687778472900391, [-7.979530334472656, -3.396026611328125])]",81912576,distilgpt2
A doll house is a,toy.,doll house,toy,13,"[(-10.738090515136719, -5.369045257568359, [-6.336811065673828, -4.401279449462891]), (-11.768310546875, -5.8841552734375, [-6.136650085449219, -5.631660461425781]), (-10.839614868164062, -5.419807434082031, [-6.600685119628906, -4.238929748535156]), (-12.444061279296875, -6.2220306396484375, [-6.928245544433594, -5.515815734863281]), (-12.286766052246094, -6.143383026123047, [-7.4553680419921875, -4.831398010253906])]",81912576,distilgpt2
A ball is a,toy.,ball,toy,14,"[(-8.10849380493164, -4.05424690246582, [-6.3584136962890625, -1.7500801086425781]), (-9.250267028808594, -4.625133514404297, [-6.8397979736328125, -2.4104690551757812]), (-10.08633804321289, -5.043169021606445, [-7.093929290771484, -2.9924087524414062]), (-8.15707778930664, -4.07853889465332, [-6.106685638427734, -2.0503921508789062]), (-9.428604125976562, -4.714302062988281, [-6.859447479248047, -2.5691566467285156])]",81912576,distilgpt2
Jacks are,toys.,jacks,toy,15,"[(-13.030956268310547, -6.515478134155273, [-11.093326568603516, -1.9376296997070312]), (-11.787506103515625, -5.8937530517578125, [-10.460769653320312, -1.3267364501953125]), (-12.855728149414062, -6.427864074707031, [-11.338626861572266, -1.5171012878417969]), (-13.408767700195312, -6.704383850097656, [-11.812320709228516, -1.5964469909667969]), (-12.614982604980469, -6.307491302490234, [-10.86166763305664, -1.7533149719238281])]",81912576,distilgpt2
Paper dolls are,toys.,paper dolls,toy,16,"[(-8.84490966796875, -4.422454833984375, [-6.744709014892578, -2.100200653076172]), (-9.252517700195312, -4.626258850097656, [-7.156063079833984, -2.096454620361328]), (-9.237846374511719, -4.618923187255859, [-7.622154235839844, -1.615692138671875]), (-7.682926177978516, -3.841463088989258, [-6.2366943359375, -1.4462318420410156]), (-8.373741149902344, -4.186870574951172, [-6.549613952636719, -1.824127197265625])]",81912576,distilgpt2
An erector set is a,toy.,erector set,toy,17,"[(-11.809638977050781, -5.904819488525391, [-8.127582550048828, -3.682056427001953]), (-10.743255615234375, -5.3716278076171875, [-7.186004638671875, -3.5572509765625]), (-11.995368957519531, -5.997684478759766, [-8.24069595336914, -3.7546730041503906]), (-9.682605743408203, -4.841302871704102, [-6.5045928955078125, -3.1780128479003906]), (-10.557613372802734, -5.278806686401367, [-7.401294708251953, -3.1563186645507812])]",81912576,distilgpt2
A hula hoop is a,toy.,hula hoop,toy,18,"[(-11.036338806152344, -5.518169403076172, [-7.345970153808594, -3.69036865234375]), (-11.023853302001953, -5.511926651000977, [-7.360450744628906, -3.663402557373047]), (-8.921974182128906, -4.460987091064453, [-5.849742889404297, -3.0722312927246094]), (-12.234146118164062, -6.117073059082031, [-7.487964630126953, -4.746181488037109]), (-9.946067810058594, -4.973033905029297, [-6.950042724609375, -2.9960250854492188])]",81912576,distilgpt2
A jump rope is a,toy.,jump rope,toy,19,"[(-10.800479888916016, -5.400239944458008, [-7.530830383300781, -3.2696495056152344]), (-11.35702133178711, -5.678510665893555, [-7.982139587402344, -3.3748817443847656]), (-11.921516418457031, -5.960758209228516, [-7.9766998291015625, -3.9448165893554688]), (-12.156623840332031, -6.078311920166016, [-8.621826171875, -3.5347976684570312]), (-12.015251159667969, -6.007625579833984, [-8.718368530273438, -3.2968826293945312])]",81912576,distilgpt2
A pogo stick is a,toy.,pogo stick,toy,20,"[(-9.231800079345703, -4.615900039672852, [-5.933475494384766, -3.2983245849609375]), (-9.693614959716797, -4.846807479858398, [-6.569522857666016, -3.1240921020507812]), (-9.983417510986328, -4.991708755493164, [-6.9444122314453125, -3.0390052795410156]), (-10.779064178466797, -5.389532089233398, [-6.898262023925781, -3.8808021545410156]), (-9.102680206298828, -4.551340103149414, [-5.924457550048828, -3.17822265625])]",81912576,distilgpt2
A clay is a,toy.,clay,toy,21,"[(-11.328845977783203, -5.664422988891602, [-8.349761962890625, -2.979084014892578]), (-11.569866180419922, -5.784933090209961, [-9.093570709228516, -2.4762954711914062]), (-9.871253967285156, -4.935626983642578, [-7.544647216796875, -2.3266067504882812]), (-10.81502914428711, -5.407514572143555, [-7.538578033447266, -3.2764511108398438]), (-9.732738494873047, -4.866369247436523, [-7.130420684814453, -2.6023178100585938])]",81912576,distilgpt2
A wagon is a,toy.,wagon,toy,22,"[(-10.527992248535156, -5.263996124267578, [-7.0302886962890625, -3.4977035522460938]), (-9.659618377685547, -4.829809188842773, [-6.906642913818359, -2.7529754638671875]), (-8.928852081298828, -4.464426040649414, [-6.682525634765625, -2.246326446533203]), (-9.588443756103516, -4.794221878051758, [-7.147937774658203, -2.4405059814453125]), (-11.076587677001953, -5.538293838500977, [-7.560504913330078, -3.516082763671875])]",81912576,distilgpt2
A kite is a,toy.,kite,toy,23,"[(-11.226791381835938, -5.613395690917969, [-7.6889801025390625, -3.537811279296875]), (-10.8961181640625, -5.44805908203125, [-8.153934478759766, -2.7421836853027344]), (-11.469284057617188, -5.734642028808594, [-8.80023193359375, -2.6690521240234375]), (-10.079544067382812, -5.039772033691406, [-6.975372314453125, -3.1041717529296875]), (-9.695240020751953, -4.847620010375977, [-6.898639678955078, -2.796600341796875])]",81912576,distilgpt2
A train is a,toy.,train,toy,24,"[(-10.44528579711914, -5.22264289855957, [-7.592010498046875, -2.8532752990722656]), (-9.990070343017578, -4.995035171508789, [-7.586223602294922, -2.4038467407226562]), (-10.119155883789062, -5.059577941894531, [-7.4639434814453125, -2.65521240234375]), (-9.609153747558594, -4.804576873779297, [-7.7061767578125, -1.9029769897460938]), (-11.297119140625, -5.6485595703125, [-8.221298217773438, -3.0758209228515625])]",81912576,distilgpt2
A tricycle is a,toy.,tricycle,toy,25,"[(-9.361515045166016, -4.680757522583008, [-6.754535675048828, -2.6069793701171875]), (-10.767436981201172, -5.383718490600586, [-6.899131774902344, -3.868305206298828]), (-10.491817474365234, -5.245908737182617, [-7.101375579833984, -3.39044189453125]), (-10.346298217773438, -5.173149108886719, [-7.054508209228516, -3.291790008544922]), (-9.433860778808594, -4.716930389404297, [-6.961921691894531, -2.4719390869140625])]",81912576,distilgpt2
A coloring book is a,toy.,coloring book,toy,26,"[(-11.132442474365234, -5.566221237182617, [-7.898216247558594, -3.2342262268066406]), (-10.822696685791016, -5.411348342895508, [-8.560535430908203, -2.2621612548828125]), (-9.915035247802734, -4.957517623901367, [-7.982059478759766, -1.9329757690429688]), (-10.776649475097656, -5.388324737548828, [-8.017021179199219, -2.7596282958984375]), (-9.804759979248047, -4.902379989624023, [-7.560569763183594, -2.244190216064453])]",81912576,distilgpt2
Crayons are,toys.,crayons,toy,27,"[(-12.491985321044922, -6.245992660522461, [-10.728046417236328, -1.7639389038085938]), (-12.853137969970703, -6.426568984985352, [-10.893661499023438, -1.9594764709472656]), (-12.296680450439453, -6.148340225219727, [-10.299537658691406, -1.9971427917480469]), (-11.986038208007812, -5.993019104003906, [-10.35360336303711, -1.6324348449707031]), (-12.640380859375, -6.3201904296875, [-10.881633758544922, -1.7587471008300781])]",81912576,distilgpt2
A truck is a,toy.,truck,toy,28,"[(-11.21902847290039, -5.609514236450195, [-7.407341003417969, -3.811687469482422]), (-11.919517517089844, -5.959758758544922, [-7.185005187988281, -4.7345123291015625]), (-10.747856140136719, -5.373928070068359, [-6.763397216796875, -3.9844589233398438]), (-10.889690399169922, -5.444845199584961, [-7.451763153076172, -3.43792724609375]), (-9.977294921875, -4.9886474609375, [-6.506965637207031, -3.4703292846679688])]",81912576,distilgpt2
A puzzle is a,toy.,puzzle,toy,29,"[(-10.780067443847656, -5.390033721923828, [-8.219341278076172, -2.5607261657714844]), (-10.98492431640625, -5.492462158203125, [-8.642406463623047, -2.342517852783203]), (-11.00537109375, -5.502685546875, [-8.033920288085938, -2.9714508056640625]), (-9.939346313476562, -4.969673156738281, [-7.477733612060547, -2.4616127014160156]), (-11.271026611328125, -5.6355133056640625, [-8.238723754882812, -3.0323028564453125])]",81912576,distilgpt2
A fire engine is a,toy.,fire engine,toy,30,"[(-9.713333129882812, -4.856666564941406, [-7.934257507324219, -1.7790756225585938]), (-10.580806732177734, -5.290403366088867, [-8.228607177734375, -2.3521995544433594]), (-11.166763305664062, -5.583381652832031, [-7.6598663330078125, -3.50689697265625]), (-9.862907409667969, -4.931453704833984, [-7.915523529052734, -1.9473838806152344]), (-12.199249267578125, -6.0996246337890625, [-8.800704956054688, -3.3985443115234375])]",81912576,distilgpt2
A balloon is a,toy.,balloon,toy,31,"[(-8.549736022949219, -4.274868011474609, [-6.636573791503906, -1.9131622314453125]), (-9.819477081298828, -4.909738540649414, [-6.881965637207031, -2.937511444091797]), (-8.701492309570312, -4.350746154785156, [-6.523601531982422, -2.1778907775878906]), (-8.782459259033203, -4.391229629516602, [-6.3684539794921875, -2.4140052795410156]), (-8.64400863647461, -4.322004318237305, [-6.064994812011719, -2.5790138244628906])]",81912576,distilgpt2
Skates are,toys.,skates,toy,32,"[(-11.98638916015625, -5.993194580078125, [-10.255474090576172, -1.7309150695800781]), (-12.874980926513672, -6.437490463256836, [-11.31332778930664, -1.5616531372070312]), (-12.835075378417969, -6.417537689208984, [-10.256999969482422, -2.578075408935547]), (-11.775959014892578, -5.887979507446289, [-9.772762298583984, -2.0031967163085938]), (-12.800758361816406, -6.400379180908203, [-10.944271087646484, -1.8564872741699219])]",81912576,distilgpt2
A baseball is a,toy.,baseball,toy,33,"[(-10.131694793701172, -5.065847396850586, [-7.80584716796875, -2.325847625732422]), (-9.306587219238281, -4.653293609619141, [-6.92254638671875, -2.3840408325195312]), (-9.79159927368164, -4.89579963684082, [-7.572593688964844, -2.219005584716797]), (-10.285202026367188, -5.142601013183594, [-7.791114807128906, -2.4940872192382812]), (-9.924598693847656, -4.962299346923828, [-7.297931671142578, -2.626667022705078])]",81912576,distilgpt2
A drum is a,toy.,drum,toy,34,"[(-10.025810241699219, -5.012905120849609, [-7.341510772705078, -2.6842994689941406]), (-11.671867370605469, -5.835933685302734, [-8.474029541015625, -3.1978378295898438]), (-10.307621002197266, -5.153810501098633, [-7.7798004150390625, -2.527820587158203]), (-10.7227783203125, -5.36138916015625, [-8.04611587524414, -2.6766624450683594]), (-10.479679107666016, -5.239839553833008, [-7.530204772949219, -2.949474334716797])]",81912576,distilgpt2
A football is a,toy.,football,toy,35,"[(-11.415157318115234, -5.707578659057617, [-9.329185485839844, -2.0859718322753906]), (-11.086406707763672, -5.543203353881836, [-9.429756164550781, -1.6566505432128906]), (-11.60421371459961, -5.802106857299805, [-9.186820983886719, -2.4173927307128906]), (-11.020221710205078, -5.510110855102539, [-8.474037170410156, -2.546184539794922]), (-10.05246353149414, -5.02623176574707, [-7.920982360839844, -2.131481170654297])]",81912576,distilgpt2
A game is a,toy.,game,toy,36,"[(-10.356674194335938, -5.178337097167969, [-8.07330322265625, -2.2833709716796875]), (-11.600494384765625, -5.8002471923828125, [-8.98434066772461, -2.6161537170410156]), (-12.592521667480469, -6.296260833740234, [-9.553199768066406, -3.0393218994140625]), (-11.16317367553711, -5.581586837768555, [-8.608394622802734, -2.554779052734375]), (-11.658428192138672, -5.829214096069336, [-8.64249038696289, -3.0159378051757812])]",81912576,distilgpt2
A swing is a,toy.,swing,toy,37,"[(-11.816558837890625, -5.9082794189453125, [-8.7720947265625, -3.044464111328125]), (-11.715873718261719, -5.857936859130859, [-8.97344970703125, -2.7424240112304688]), (-11.439250946044922, -5.719625473022461, [-9.667259216308594, -1.7719917297363281]), (-11.636764526367188, -5.818382263183594, [-8.873191833496094, -2.7635726928710938]), (-11.020641326904297, -5.510320663452148, [-8.250518798828125, -2.770122528076172])]",81912576,distilgpt2
A boat is a,toy.,boat,toy,38,"[(-12.046806335449219, -6.023403167724609, [-8.375598907470703, -3.6712074279785156]), (-10.695884704589844, -5.347942352294922, [-7.329959869384766, -3.365924835205078]), (-10.31052017211914, -5.15526008605957, [-7.588588714599609, -2.7219314575195312]), (-10.128337860107422, -5.064168930053711, [-7.372447967529297, -2.755889892578125]), (-10.3082275390625, -5.15411376953125, [-6.956134796142578, -3.352092742919922])]",81912576,distilgpt2
A monopoly is a,toy.,monopoly,toy,39,"[(-11.63833999633789, -5.819169998168945, [-9.533977508544922, -2.1043624877929688]), (-11.432849884033203, -5.716424942016602, [-10.005027770996094, -1.4278221130371094]), (-11.512096405029297, -5.756048202514648, [-9.370292663574219, -2.141803741455078]), (-11.510086059570312, -5.755043029785156, [-8.362823486328125, -3.1472625732421875]), (-13.053050994873047, -6.526525497436523, [-10.555442810058594, -2.497608184814453])]",81912576,distilgpt2
A sled is a,toy.,sled,toy,40,"[(-9.634315490722656, -4.817157745361328, [-7.0283660888671875, -2.6059494018554688]), (-8.960521697998047, -4.480260848999023, [-6.817138671875, -2.143383026123047]), (-9.551788330078125, -4.7758941650390625, [-7.027835845947266, -2.5239524841308594]), (-9.294914245605469, -4.647457122802734, [-6.573341369628906, -2.7215728759765625]), (-8.96346664428711, -4.481733322143555, [-5.942737579345703, -3.0207290649414062])]",81912576,distilgpt2
A seesaw is a,toy.,seesaw,toy,41,"[(-10.5704345703125, -5.28521728515625, [-7.420318603515625, -3.150115966796875]), (-9.744064331054688, -4.872032165527344, [-7.546390533447266, -2.197673797607422]), (-9.643875122070312, -4.821937561035156, [-7.210803985595703, -2.4330711364746094]), (-11.409294128417969, -5.704647064208984, [-8.298141479492188, -3.1111526489257812]), (-10.689910888671875, -5.3449554443359375, [-7.526588439941406, -3.1633224487304688])]",81912576,distilgpt2
Stilts are,toys.,stilts,toy,42,"[(-12.84170150756836, -6.42085075378418, [-10.608348846435547, -2.2333526611328125]), (-12.555091857910156, -6.277545928955078, [-10.12396240234375, -2.4311294555664062]), (-13.060478210449219, -6.530239105224609, [-10.93252944946289, -2.127948760986328]), (-13.913227081298828, -6.956613540649414, [-11.009452819824219, -2.9037742614746094]), (-12.988719940185547, -6.494359970092773, [-10.915035247802734, -2.0736846923828125])]",81912576,distilgpt2
Checkers are,toys.,checkers,toy,43,"[(-14.327217102050781, -7.163608551025391, [-12.095870971679688, -2.2313461303710938]), (-14.122123718261719, -7.061061859130859, [-11.538902282714844, -2.583221435546875]), (-13.377662658691406, -6.688831329345703, [-11.35305404663086, -2.024608612060547]), (-14.99078369140625, -7.495391845703125, [-12.6612548828125, -2.32952880859375]), (-12.963958740234375, -6.4819793701171875, [-11.068157196044922, -1.8958015441894531])]",81912576,distilgpt2
A bat is a,toy.,bat,toy,44,"[(-8.634700775146484, -4.317350387573242, [-6.279102325439453, -2.3555984497070312]), (-8.940078735351562, -4.470039367675781, [-5.907283782958984, -3.032794952392578]), (-8.587482452392578, -4.293741226196289, [-6.290454864501953, -2.297027587890625]), (-8.987319946289062, -4.493659973144531, [-6.236080169677734, -2.751239776611328]), (-9.267513275146484, -4.633756637573242, [-6.642337799072266, -2.6251754760742188])]",81912576,distilgpt2
A car is a,toy.,car,toy,45,"[(-11.043720245361328, -5.521860122680664, [-6.853458404541016, -4.1902618408203125]), (-9.945026397705078, -4.972513198852539, [-6.404178619384766, -3.5408477783203125]), (-8.276920318603516, -4.138460159301758, [-6.334133148193359, -1.9427871704101562]), (-8.65078353881836, -4.32539176940918, [-6.19989013671875, -2.4508934020996094]), (-9.815223693847656, -4.907611846923828, [-6.408130645751953, -3.407093048095703])]",81912576,distilgpt2
An airplane is a,toy.,airplane,toy,46,"[(-11.742145538330078, -5.871072769165039, [-8.09466552734375, -3.647480010986328]), (-10.446609497070312, -5.223304748535156, [-7.827419281005859, -2.619190216064453]), (-11.2261962890625, -5.61309814453125, [-7.9454193115234375, -3.2807769775390625]), (-10.702247619628906, -5.351123809814453, [-7.264862060546875, -3.4373855590820312]), (-9.76611328125, -4.883056640625, [-7.318115234375, -2.447998046875])]",81912576,distilgpt2
A bicycle is a,toy.,bicycle,toy,47,"[(-9.698196411132812, -4.849098205566406, [-7.605720520019531, -2.0924758911132812]), (-9.71048355102539, -4.855241775512695, [-7.079021453857422, -2.6314620971679688]), (-10.888690948486328, -5.444345474243164, [-9.28635025024414, -1.6023406982421875]), (-9.674781799316406, -4.837390899658203, [-7.383796691894531, -2.290985107421875]), (-10.613784790039062, -5.306892395019531, [-7.520534515380859, -3.093250274658203])]",81912576,distilgpt2
A tractor is a,toy.,tractor,toy,48,"[(-12.289665222167969, -6.144832611083984, [-7.40277099609375, -4.886894226074219]), (-11.08056640625, -5.540283203125, [-7.47222900390625, -3.60833740234375]), (-10.63470458984375, -5.317352294921875, [-7.48809814453125, -3.1466064453125]), (-9.7005615234375, -4.85028076171875, [-6.940010070800781, -2.7605514526367188]), (-9.791748046875, -4.8958740234375, [-7.05010986328125, -2.74163818359375])]",81912576,distilgpt2
A sandbox is a,toy.,sandbox,toy,49,"[(-12.24288558959961, -6.121442794799805, [-9.253547668457031, -2.989337921142578]), (-10.337295532226562, -5.168647766113281, [-7.5905609130859375, -2.746734619140625]), (-11.723346710205078, -5.861673355102539, [-7.480228424072266, -4.2431182861328125]), (-11.401885986328125, -5.7009429931640625, [-8.797248840332031, -2.6046371459960938]), (-10.470623016357422, -5.235311508178711, [-7.890739440917969, -2.579883575439453])]",81912576,distilgpt2
A bike is a,toy.,bike,toy,50,"[(-10.019187927246094, -5.009593963623047, [-7.146236419677734, -2.8729515075683594]), (-11.197193145751953, -5.598596572875977, [-7.645851135253906, -3.551342010498047]), (-10.67242431640625, -5.336212158203125, [-7.5020294189453125, -3.1703948974609375]), (-9.623188018798828, -4.811594009399414, [-7.760501861572266, -1.8626861572265625]), (-9.555549621582031, -4.777774810791016, [-7.6350250244140625, -1.9205245971679688])]",81912576,distilgpt2
A bow and arrow is a,toy.,bow and arrow,toy,51,"[(-10.978561401367188, -5.489280700683594, [-7.806793212890625, -3.1717681884765625]), (-11.034671783447266, -5.517335891723633, [-8.029670715332031, -3.0050010681152344]), (-10.298240661621094, -5.149120330810547, [-8.132022857666016, -2.166217803955078]), (-11.005077362060547, -5.502538681030273, [-8.751903533935547, -2.253173828125]), (-10.166290283203125, -5.0831451416015625, [-7.251209259033203, -2.915081024169922])]",81912576,distilgpt2
A rope is a,toy.,rope,toy,52,"[(-9.894084930419922, -4.947042465209961, [-7.924324035644531, -1.9697608947753906]), (-9.326732635498047, -4.663366317749023, [-7.175273895263672, -2.151458740234375]), (-12.244476318359375, -6.1222381591796875, [-8.921672821044922, -3.322803497314453]), (-10.008041381835938, -5.004020690917969, [-7.134605407714844, -2.8734359741210938]), (-10.6099853515625, -5.30499267578125, [-7.446319580078125, -3.163665771484375])]",81912576,distilgpt2
Dishes are,toys.,dishes,toy,53,"[(-13.208026885986328, -6.604013442993164, [-11.127338409423828, -2.0806884765625]), (-12.840118408203125, -6.4200592041015625, [-11.033222198486328, -1.8068962097167969]), (-12.82705307006836, -6.41352653503418, [-11.271347045898438, -1.5557060241699219]), (-12.298851013183594, -6.149425506591797, [-10.041217803955078, -2.2576332092285156]), (-13.13144302368164, -6.56572151184082, [-11.366718292236328, -1.7647247314453125])]",81912576,distilgpt2
Cards are,toys.,cards,toy,54,"[(-12.525012969970703, -6.262506484985352, [-10.884063720703125, -1.6409492492675781]), (-12.128120422363281, -6.064060211181641, [-10.683345794677734, -1.4447746276855469]), (-12.031352996826172, -6.015676498413086, [-10.78542709350586, -1.2459259033203125]), (-12.527896881103516, -6.263948440551758, [-10.86263656616211, -1.6652603149414062]), (-11.120037078857422, -5.560018539428711, [-9.562969207763672, -1.55706787109375])]",81912576,distilgpt2
A mitt is a,toy.,mitt,toy,55,"[(-10.522167205810547, -5.261083602905273, [-7.746486663818359, -2.7756805419921875]), (-9.78615951538086, -4.89307975769043, [-7.328742980957031, -2.457416534423828]), (-10.327842712402344, -5.163921356201172, [-7.720981597900391, -2.606861114501953]), (-10.418956756591797, -5.209478378295898, [-7.619476318359375, -2.799480438232422]), (-9.564678192138672, -4.782339096069336, [-6.896564483642578, -2.6681137084960938])]",81912576,distilgpt2
A horse is a,toy.,horse,toy,56,"[(-10.217620849609375, -5.1088104248046875, [-7.850074768066406, -2.3675460815429688]), (-9.605072021484375, -4.8025360107421875, [-7.300994873046875, -2.3040771484375]), (-9.354606628417969, -4.677303314208984, [-7.3097686767578125, -2.0448379516601562]), (-9.168582916259766, -4.584291458129883, [-7.197746276855469, -1.9708366394042969]), (-9.170166015625, -4.5850830078125, [-6.989906311035156, -2.1802597045898438])]",81912576,distilgpt2
A gun is a,toy.,gun,toy,57,"[(-7.521831512451172, -3.760915756225586, [-5.564659118652344, -1.9571723937988281]), (-7.990749359130859, -3.9953746795654297, [-5.538398742675781, -2.452350616455078]), (-8.413860321044922, -4.206930160522461, [-5.7252044677734375, -2.6886558532714844]), (-8.046405792236328, -4.023202896118164, [-5.775600433349609, -2.2708053588867188]), (-7.662334442138672, -3.831167221069336, [-5.522113800048828, -2.1402206420898438])]",81912576,distilgpt2
Animals are,toys.,animals,toy,58,"[(-11.922119140625, -5.9610595703125, [-9.943931579589844, -1.9781875610351562]), (-11.781658172607422, -5.890829086303711, [-10.329010009765625, -1.4526481628417969]), (-11.90584945678711, -5.952924728393555, [-10.374500274658203, -1.5313491821289062]), (-12.075908660888672, -6.037954330444336, [-10.505119323730469, -1.5707893371582031]), (-11.661781311035156, -5.830890655517578, [-10.186782836914062, -1.4749984741210938])]",81912576,distilgpt2
A tennis racket is a,toy.,tennis racket,toy,59,"[(-9.507537841796875, -4.7537689208984375, [-7.0840301513671875, -2.4235076904296875]), (-9.336524963378906, -4.668262481689453, [-6.6092376708984375, -2.7272872924804688]), (-9.536937713623047, -4.768468856811523, [-6.34112548828125, -3.195812225341797]), (-8.636402130126953, -4.318201065063477, [-6.157936096191406, -2.478466033935547]), (-10.984458923339844, -5.492229461669922, [-6.779308319091797, -4.205150604248047])]",81912576,distilgpt2
