preamble,stimulus,item,category,rank,"score (sum, mean, [list)",params,model
A rocking horse is a,toy.,rocking horse,toy,12,"[(-4.240690231323242, -2.120345115661621, [-4.200695037841797, -0.03999519348144531]), (-5.649724006652832, -2.824862003326416, [-5.592921257019043, -0.05680274963378906]), (-6.481186866760254, -3.240593433380127, [-6.4266462326049805, -0.05454063415527344]), (-6.614387035369873, -3.3071935176849365, [-6.585683345794678, -0.028703689575195312]), (-4.616950988769531, -2.3084754943847656, [-4.585487365722656, -0.031463623046875])]",109514298,bert-base-uncased
A doll house is a,toy.,doll house,toy,13,"[(-3.693387985229492, -1.846693992614746, [-3.6561832427978516, -0.037204742431640625]), (-2.5681381225585938, -1.2840690612792969, [-2.530017852783203, -0.038120269775390625]), (-2.7104225158691406, -1.3552112579345703, [-2.679147720336914, -0.03127479553222656]), (-2.7547855377197266, -1.3773927688598633, [-2.742483139038086, -0.012302398681640625]), (-4.603209018707275, -2.3016045093536377, [-4.566782474517822, -0.036426544189453125])]",109514298,bert-base-uncased
A ball is a,toy.,ball,toy,14,"[(-7.305542945861816, -3.652771472930908, [-7.259505271911621, -0.04603767395019531]), (-7.257911205291748, -3.628955602645874, [-7.147754192352295, -0.11015701293945312]), (-6.256437301635742, -3.128218650817871, [-6.169183731079102, -0.08725357055664062]), (-6.649679183959961, -3.3248395919799805, [-6.62809944152832, -0.021579742431640625]), (-6.113308906555176, -3.056654453277588, [-6.0739850997924805, -0.03932380676269531])]",109514298,bert-base-uncased
Jacks are,toys.,jacks,toy,15,"[(-7.656122207641602, -3.828061103820801, [-7.5797271728515625, -0.07639503479003906]), (-5.681793212890625, -2.8408966064453125, [-5.6132659912109375, -0.0685272216796875]), (-7.524791240692139, -3.7623956203460693, [-7.405272960662842, -0.11951828002929688]), (-6.659002304077148, -3.329501152038574, [-6.627525329589844, -0.03147697448730469]), (-6.2047119140625, -3.10235595703125, [-6.139047622680664, -0.06566429138183594])]",109514298,bert-base-uncased
Paper dolls are,toys.,paper dolls,toy,16,"[(-7.44597864151001, -3.722989320755005, [-7.394720554351807, -0.051258087158203125]), (-6.5659260749816895, -3.2829630374908447, [-6.445417881011963, -0.12050819396972656]), (-6.288788795471191, -3.1443943977355957, [-6.250800132751465, -0.03798866271972656]), (-7.306949138641357, -3.6534745693206787, [-7.280288219451904, -0.026660919189453125]), (-6.107396125793457, -3.0536980628967285, [-6.081307411193848, -0.026088714599609375])]",109514298,bert-base-uncased
An erector set is a,toy.,erector set,toy,17,"[(-5.532973289489746, -2.766486644744873, [-5.500983238220215, -0.03199005126953125]), (-7.788768291473389, -3.8943841457366943, [-7.752578258514404, -0.036190032958984375]), (-11.18437385559082, -5.59218692779541, [-11.173215866088867, -0.011157989501953125]), (-7.862003803253174, -3.931001901626587, [-7.848633289337158, -0.013370513916015625]), (-10.118061065673828, -5.059030532836914, [-10.095401763916016, -0.0226593017578125])]",109514298,bert-base-uncased
A hula hoop is a,toy.,hula hoop,toy,18,"[(-9.269779205322266, -4.634889602661133, [-9.23556137084961, -0.03421783447265625]), (-5.259582042694092, -2.629791021347046, [-5.234584331512451, -0.024997711181640625]), (-6.049979209899902, -3.024989604949951, [-6.032767295837402, -0.0172119140625]), (-5.202027320861816, -2.601013660430908, [-5.185620307922363, -0.016407012939453125]), (-5.7740302085876465, -2.8870151042938232, [-5.751468181610107, -0.022562026977539062])]",109514298,bert-base-uncased
A jump rope is a,toy.,jump rope,toy,19,"[(-12.802755355834961, -6.4013776779174805, [-12.772323608398438, -0.030431747436523438]), (-13.594084739685059, -6.797042369842529, [-13.562241554260254, -0.03184318542480469]), (-13.215137481689453, -6.607568740844727, [-13.19090461730957, -0.024232864379882812]), (-10.334787368774414, -5.167393684387207, [-10.293691635131836, -0.041095733642578125]), (-12.295136451721191, -6.147568225860596, [-12.268633842468262, -0.026502609252929688])]",109514298,bert-base-uncased
A pogo stick is a,toy.,pogo stick,toy,20,"[(-4.099671363830566, -2.049835681915283, [-4.078394889831543, -0.021276473999023438]), (-4.521730422973633, -2.2608652114868164, [-4.505411148071289, -0.01631927490234375]), (-4.675514221191406, -2.337757110595703, [-4.651727676391602, -0.023786544799804688]), (-3.191807746887207, -1.5959038734436035, [-3.174595832824707, -0.0172119140625]), (-4.773432731628418, -2.386716365814209, [-4.748908042907715, -0.024524688720703125])]",109514298,bert-base-uncased
A clay is a,toy.,clay,toy,21,"[(-9.818778991699219, -4.909389495849609, [-9.793197631835938, -0.02558135986328125]), (-9.535470962524414, -4.767735481262207, [-9.512956619262695, -0.02251434326171875]), (-9.971917152404785, -4.985958576202393, [-9.9513521194458, -0.020565032958984375]), (-10.050971031188965, -5.025485515594482, [-10.018427848815918, -0.032543182373046875]), (-10.830666542053223, -5.415333271026611, [-10.784504890441895, -0.046161651611328125])]",109514298,bert-base-uncased
A wagon is a,toy.,wagon,toy,22,"[(-5.269515037536621, -2.6347575187683105, [-5.212262153625488, -0.05725288391113281]), (-7.99203634262085, -3.996018171310425, [-7.943849086761475, -0.048187255859375]), (-7.835621356964111, -3.9178106784820557, [-7.813337802886963, -0.022283554077148438]), (-7.0864081382751465, -3.5432040691375732, [-7.062964916229248, -0.023443222045898438]), (-7.3059916496276855, -3.6529958248138428, [-7.271348476409912, -0.03464317321777344])]",109514298,bert-base-uncased
A kite is a,toy.,kite,toy,23,"[(-10.098840713500977, -5.049420356750488, [-10.054370880126953, -0.04446983337402344]), (-6.687141418457031, -3.3435707092285156, [-6.660152435302734, -0.026988983154296875]), (-8.65927505493164, -4.32963752746582, [-8.615386962890625, -0.043888092041015625]), (-9.084392547607422, -4.542196273803711, [-9.055334091186523, -0.029058456420898438]), (-8.035757064819336, -4.017878532409668, [-7.9711151123046875, -0.06464195251464844])]",109514298,bert-base-uncased
A train is a,toy.,train,toy,24,"[(-6.76755428314209, -3.383777141571045, [-6.740700721740723, -0.026853561401367188]), (-6.2968902587890625, -3.1484451293945312, [-6.2500152587890625, -0.046875]), (-7.522054672241211, -3.7610273361206055, [-7.487968444824219, -0.03408622741699219]), (-8.167981147766113, -4.083990573883057, [-8.084429740905762, -0.08355140686035156]), (-5.974096775054932, -2.987048387527466, [-5.924768924713135, -0.049327850341796875])]",109514298,bert-base-uncased
A tricycle is a,toy.,tricycle,toy,25,"[(-7.167054176330566, -3.583527088165283, [-7.145371437072754, -0.0216827392578125]), (-8.040693759918213, -4.0203468799591064, [-7.986876010894775, -0.0538177490234375]), (-7.00962495803833, -3.504812479019165, [-6.979427814483643, -0.0301971435546875]), (-6.888084411621094, -3.444042205810547, [-6.858470916748047, -0.029613494873046875]), (-6.870244026184082, -3.435122013092041, [-6.842991828918457, -0.027252197265625])]",109514298,bert-base-uncased
A coloring book is a,toy.,coloring book,toy,26,"[(-4.137601852416992, -2.068800926208496, [-4.103076934814453, -0.03452491760253906]), (-6.356404781341553, -3.1782023906707764, [-6.331069469451904, -0.025335311889648438]), (-5.026824474334717, -2.5134122371673584, [-4.969602108001709, -0.05722236633300781]), (-4.011634349822998, -2.005817174911499, [-3.9945101737976074, -0.017124176025390625]), (-6.372712135314941, -3.1863560676574707, [-6.332976341247559, -0.03973579406738281])]",109514298,bert-base-uncased
Crayons are,toys.,crayons,toy,27,"[(-8.966877937316895, -4.483438968658447, [-8.927382469177246, -0.03949546813964844]), (-8.61082935333252, -4.30541467666626, [-8.52548885345459, -0.08534049987792969]), (-10.000657081604004, -5.000328540802002, [-9.847479820251465, -0.15317726135253906]), (-11.565438270568848, -5.782719135284424, [-11.48476505279541, -0.0806732177734375]), (-8.761466026306152, -4.380733013153076, [-8.60315227508545, -0.15831375122070312])]",109514298,bert-base-uncased
A truck is a,toy.,truck,toy,28,"[(-8.736400604248047, -4.368200302124023, [-8.692790985107422, -0.043609619140625]), (-7.370192527770996, -3.685096263885498, [-7.3406782150268555, -0.029514312744140625]), (-9.175585746765137, -4.587792873382568, [-9.083050727844238, -0.09253501892089844]), (-6.967108726501465, -3.4835543632507324, [-6.924796104431152, -0.0423126220703125]), (-7.66500186920166, -3.83250093460083, [-7.631861686706543, -0.03314018249511719])]",109514298,bert-base-uncased
A puzzle is a,toy.,puzzle,toy,29,"[(-9.252755165100098, -4.626377582550049, [-9.225834846496582, -0.026920318603515625]), (-8.714801788330078, -4.357400894165039, [-8.647802352905273, -0.06699943542480469]), (-8.618154525756836, -4.309077262878418, [-8.596956253051758, -0.021198272705078125]), (-7.377208709716797, -3.6886043548583984, [-7.354209899902344, -0.022998809814453125]), (-7.612351417541504, -3.806175708770752, [-7.583321571350098, -0.02902984619140625])]",109514298,bert-base-uncased
A fire engine is a,toy.,fire engine,toy,30,"[(-6.142796039581299, -3.0713980197906494, [-6.079897403717041, -0.06289863586425781]), (-7.663441181182861, -3.8317205905914307, [-7.64858865737915, -0.014852523803710938]), (-8.662775993347168, -4.331387996673584, [-8.622456550598145, -0.04031944274902344]), (-7.988121032714844, -3.994060516357422, [-7.9702606201171875, -0.01786041259765625]), (-6.626290798187256, -3.313145399093628, [-6.607388973236084, -0.018901824951171875])]",109514298,bert-base-uncased
A balloon is a,toy.,balloon,toy,31,"[(-4.32708740234375, -2.163543701171875, [-4.300851821899414, -0.026235580444335938]), (-5.070021152496338, -2.535010576248169, [-5.037985324859619, -0.03203582763671875]), (-4.008915901184082, -2.004457950592041, [-3.973422050476074, -0.03549385070800781]), (-5.784874439239502, -2.892437219619751, [-5.771246433258057, -0.013628005981445312]), (-6.178401947021484, -3.089200973510742, [-6.155155181884766, -0.02324676513671875])]",109514298,bert-base-uncased
Skates are,toys.,skates,toy,32,"[(-12.478947639465332, -6.239473819732666, [-12.446581840515137, -0.03236579895019531]), (-11.293821334838867, -5.646910667419434, [-11.252523422241211, -0.04129791259765625]), (-11.016481399536133, -5.508240699768066, [-10.965600967407227, -0.05088043212890625]), (-9.625151634216309, -4.812575817108154, [-9.529387474060059, -0.09576416015625]), (-11.172165870666504, -5.586082935333252, [-11.06818675994873, -0.10397911071777344])]",109514298,bert-base-uncased
A baseball is a,toy.,baseball,toy,33,"[(-6.6851959228515625, -3.3425979614257812, [-6.64007568359375, -0.0451202392578125]), (-7.363071918487549, -3.6815359592437744, [-7.324310779571533, -0.038761138916015625]), (-7.417431354522705, -3.7087156772613525, [-7.383293628692627, -0.034137725830078125]), (-6.9757208824157715, -3.4878604412078857, [-6.92636251449585, -0.049358367919921875]), (-7.201152801513672, -3.600576400756836, [-7.141271591186523, -0.05988121032714844])]",109514298,bert-base-uncased
A drum is a,toy.,drum,toy,34,"[(-6.447659969329834, -3.223829984664917, [-6.379226207733154, -0.06843376159667969]), (-7.499617576599121, -3.7498087882995605, [-7.459206581115723, -0.04041099548339844]), (-9.074316024780273, -4.537158012390137, [-9.050725936889648, -0.023590087890625]), (-5.242292881011963, -2.6211464405059814, [-5.204521656036377, -0.03777122497558594]), (-6.046295166015625, -3.0231475830078125, [-6.027168273925781, -0.01912689208984375])]",109514298,bert-base-uncased
A football is a,toy.,football,toy,35,"[(-7.598596572875977, -3.7992982864379883, [-7.545835494995117, -0.052761077880859375]), (-8.413141250610352, -4.206570625305176, [-8.362539291381836, -0.050601959228515625]), (-7.472885608673096, -3.736442804336548, [-7.4124627113342285, -0.06042289733886719]), (-5.491324424743652, -2.745662212371826, [-5.420840263366699, -0.07048416137695312]), (-9.316688537597656, -4.658344268798828, [-9.274641036987305, -0.04204750061035156])]",109514298,bert-base-uncased
A game is a,toy.,game,toy,36,"[(-8.683626174926758, -4.341813087463379, [-8.62643814086914, -0.05718803405761719]), (-8.859640121459961, -4.4298200607299805, [-8.792022705078125, -0.06761741638183594]), (-8.814183235168457, -4.4070916175842285, [-8.747271537780762, -0.06691169738769531]), (-7.212571144104004, -3.606285572052002, [-7.170773506164551, -0.041797637939453125]), (-8.059648036956787, -4.0298240184783936, [-7.953944683074951, -0.10570335388183594])]",109514298,bert-base-uncased
A swing is a,toy.,swing,toy,37,"[(-5.56579065322876, -2.78289532661438, [-5.534794330596924, -0.030996322631835938]), (-7.474731922149658, -3.737365961074829, [-7.427425861358643, -0.047306060791015625]), (-5.578511714935303, -2.7892558574676514, [-5.511603832244873, -0.06690788269042969]), (-6.3756232261657715, -3.1878116130828857, [-6.350091457366943, -0.025531768798828125]), (-5.712514877319336, -2.856257438659668, [-5.692596435546875, -0.019918441772460938])]",109514298,bert-base-uncased
A boat is a,toy.,boat,toy,38,"[(-7.35147762298584, -3.67573881149292, [-7.311751365661621, -0.03972625732421875]), (-7.602602481842041, -3.8013012409210205, [-7.553452014923096, -0.04915046691894531]), (-9.217544555664062, -4.608772277832031, [-9.196249008178711, -0.021295547485351562]), (-9.615157127380371, -4.8075785636901855, [-9.555071830749512, -0.060085296630859375]), (-7.899216175079346, -3.949608087539673, [-7.844303607940674, -0.054912567138671875])]",109514298,bert-base-uncased
A monopoly is a,toy.,monopoly,toy,39,"[(-10.144365310668945, -5.072182655334473, [-10.119979858398438, -0.024385452270507812]), (-11.966292381286621, -5.9831461906433105, [-11.940184593200684, -0.0261077880859375]), (-10.124860763549805, -5.062430381774902, [-10.059175491333008, -0.06568527221679688]), (-10.540929794311523, -5.270464897155762, [-10.514348983764648, -0.026580810546875]), (-12.486319541931152, -6.243159770965576, [-12.445759773254395, -0.04055976867675781])]",109514298,bert-base-uncased
A sled is a,toy.,sled,toy,40,"[(-8.602846145629883, -4.301423072814941, [-8.582895278930664, -0.01995086669921875]), (-10.040761947631836, -5.020380973815918, [-10.004140853881836, -0.03662109375]), (-9.95529842376709, -4.977649211883545, [-9.92602252960205, -0.029275894165039062]), (-9.147168159484863, -4.573584079742432, [-9.125760078430176, -0.0214080810546875]), (-6.6701250076293945, -3.3350625038146973, [-6.626687049865723, -0.043437957763671875])]",109514298,bert-base-uncased
A seesaw is a,toy.,seesaw,toy,41,"[(-7.582671642303467, -3.7913358211517334, [-7.526027202606201, -0.056644439697265625]), (-7.379870414733887, -3.6899352073669434, [-7.351950645446777, -0.027919769287109375]), (-5.632487773895264, -2.816243886947632, [-5.5988993644714355, -0.033588409423828125]), (-6.623730182647705, -3.3118650913238525, [-6.561956882476807, -0.06177330017089844]), (-5.875030994415283, -2.9375154972076416, [-5.8446221351623535, -0.030408859252929688])]",109514298,bert-base-uncased
Stilts are,toys.,stilts,toy,42,"[(-11.475785255432129, -5.7378926277160645, [-11.414868354797363, -0.060916900634765625]), (-10.300580978393555, -5.150290489196777, [-10.109748840332031, -0.19083213806152344]), (-8.296460151672363, -4.148230075836182, [-8.230181694030762, -0.06627845764160156]), (-9.808389663696289, -4.9041948318481445, [-9.661443710327148, -0.14694595336914062]), (-8.995159149169922, -4.497579574584961, [-8.861392974853516, -0.13376617431640625])]",109514298,bert-base-uncased
Checkers are,toys.,checkers,toy,43,"[(-9.82540512084961, -4.912702560424805, [-9.768522262573242, -0.05688285827636719]), (-10.905787467956543, -5.4528937339782715, [-10.775534629821777, -0.13025283813476562]), (-12.287043571472168, -6.143521785736084, [-12.174391746520996, -0.11265182495117188]), (-10.20556640625, -5.102783203125, [-10.073297500610352, -0.13226890563964844]), (-10.41044807434082, -5.20522403717041, [-10.285690307617188, -0.12475776672363281])]",109514298,bert-base-uncased
A bat is a,toy.,bat,toy,44,"[(-6.969841480255127, -3.4849207401275635, [-6.8829216957092285, -0.08691978454589844]), (-6.511800289154053, -3.2559001445770264, [-6.497178554534912, -0.014621734619140625]), (-6.572995662689209, -3.2864978313446045, [-6.524360179901123, -0.04863548278808594]), (-6.434180736541748, -3.217090368270874, [-6.404788494110107, -0.029392242431640625]), (-6.882792949676514, -3.441396474838257, [-6.840220928192139, -0.042572021484375])]",109514298,bert-base-uncased
A car is a,toy.,car,toy,45,"[(-5.992733478546143, -2.9963667392730713, [-5.932875156402588, -0.05985832214355469]), (-5.573199272155762, -2.786599636077881, [-5.54971981048584, -0.023479461669921875]), (-4.881059169769287, -2.4405295848846436, [-4.8494791984558105, -0.03157997131347656]), (-7.841386795043945, -3.9206933975219727, [-7.820444107055664, -0.02094268798828125]), (-6.203763008117676, -3.101881504058838, [-6.160016059875488, -0.0437469482421875])]",109514298,bert-base-uncased
An airplane is a,toy.,airplane,toy,46,"[(-8.680875778198242, -4.340437889099121, [-8.612560272216797, -0.06831550598144531]), (-5.570394039154053, -2.7851970195770264, [-5.554641246795654, -0.015752792358398438]), (-5.508864402770996, -2.754432201385498, [-5.489310264587402, -0.01955413818359375]), (-6.093105792999268, -3.046552896499634, [-6.05959939956665, -0.03350639343261719]), (-6.365139007568359, -3.1825695037841797, [-6.336832046508789, -0.028306961059570312])]",109514298,bert-base-uncased
A bicycle is a,toy.,bicycle,toy,47,"[(-7.691324234008789, -3.8456621170043945, [-7.678680419921875, -0.012643814086914062]), (-7.123478412628174, -3.561739206314087, [-7.077229022979736, -0.0462493896484375]), (-6.479703426361084, -3.239851713180542, [-6.444198131561279, -0.03550529479980469]), (-6.665795803070068, -3.332897901535034, [-6.5879740715026855, -0.07782173156738281]), (-6.446660041809082, -3.223330020904541, [-6.405230522155762, -0.04142951965332031])]",109514298,bert-base-uncased
A tractor is a,toy.,tractor,toy,48,"[(-6.1181817054748535, -3.0590908527374268, [-6.056908130645752, -0.06127357482910156]), (-7.349771022796631, -3.6748855113983154, [-7.318480968475342, -0.03129005432128906]), (-6.9072723388671875, -3.4536361694335938, [-6.846708297729492, -0.06056404113769531]), (-7.467671871185303, -3.7338359355926514, [-7.428727626800537, -0.038944244384765625]), (-6.435909271240234, -3.217954635620117, [-6.383598327636719, -0.052310943603515625])]",109514298,bert-base-uncased
A sandbox is a,toy.,sandbox,toy,49,"[(-6.9137701988220215, -3.4568850994110107, [-6.877309322357178, -0.03646087646484375]), (-8.266338348388672, -4.133169174194336, [-8.213592529296875, -0.052745819091796875]), (-6.499607086181641, -3.2498035430908203, [-6.470027923583984, -0.02957916259765625]), (-4.901966094970703, -2.4509830474853516, [-4.8793182373046875, -0.022647857666015625]), (-5.071213245391846, -2.535606622695923, [-5.03344202041626, -0.03777122497558594])]",109514298,bert-base-uncased
A bike is a,toy.,bike,toy,50,"[(-4.834437370300293, -2.4172186851501465, [-4.816525459289551, -0.017911911010742188]), (-8.357170104980469, -4.178585052490234, [-8.328107833862305, -0.029062271118164062]), (-5.788305282592773, -2.8941526412963867, [-5.751150131225586, -0.0371551513671875]), (-6.675738334655762, -3.337869167327881, [-6.644465446472168, -0.03127288818359375]), (-6.941074371337891, -3.4705371856689453, [-6.891674041748047, -0.04940032958984375])]",109514298,bert-base-uncased
A bow and arrow is a,toy.,bow and arrow,toy,51,"[(-8.212398529052734, -4.106199264526367, [-8.168437957763672, -0.0439605712890625]), (-8.548099517822266, -4.274049758911133, [-8.50374984741211, -0.04434967041015625]), (-6.250524997711182, -3.125262498855591, [-6.223961353302002, -0.026563644409179688]), (-6.188174724578857, -3.0940873622894287, [-6.145936489105225, -0.04223823547363281]), (-7.414424896240234, -3.707212448120117, [-7.368980407714844, -0.045444488525390625])]",109514298,bert-base-uncased
A rope is a,toy.,rope,toy,52,"[(-9.432004928588867, -4.716002464294434, [-9.376407623291016, -0.05559730529785156]), (-8.615642547607422, -4.307821273803711, [-8.480875015258789, -0.1347675323486328]), (-9.95766830444336, -4.97883415222168, [-9.927377700805664, -0.030290603637695312]), (-10.106557846069336, -5.053278923034668, [-10.048660278320312, -0.05789756774902344]), (-7.582716464996338, -3.791358232498169, [-7.542110919952393, -0.04060554504394531])]",109514298,bert-base-uncased
Dishes are,toys.,dishes,toy,53,"[(-15.03298568725586, -7.51649284362793, [-14.868864059448242, -0.1641216278076172]), (-11.90629768371582, -5.95314884185791, [-11.566787719726562, -0.3395099639892578]), (-15.504718780517578, -7.752359390258789, [-15.087697982788086, -0.4170207977294922]), (-15.21737289428711, -7.608686447143555, [-15.095075607299805, -0.12229728698730469]), (-13.511908531188965, -6.755954265594482, [-13.359526634216309, -0.15238189697265625])]",109514298,bert-base-uncased
Cards are,toys.,cards,toy,54,"[(-10.94816780090332, -5.47408390045166, [-10.847469329833984, -0.10069847106933594]), (-10.292623519897461, -5.1463117599487305, [-10.218523025512695, -0.07410049438476562]), (-10.496953010559082, -5.248476505279541, [-10.434340476989746, -0.06261253356933594]), (-10.592072486877441, -5.296036243438721, [-10.53503704071045, -0.05703544616699219]), (-11.110843658447266, -5.555421829223633, [-11.086994171142578, -0.0238494873046875])]",109514298,bert-base-uncased
A mitt is a,toy.,mitt,toy,55,"[(-7.2072978019714355, -3.6036489009857178, [-7.1821112632751465, -0.025186538696289062]), (-7.9304704666137695, -3.9652352333068848, [-7.88040828704834, -0.05006217956542969]), (-7.032896041870117, -3.5164480209350586, [-6.997344970703125, -0.03555107116699219]), (-6.9906792640686035, -3.4953396320343018, [-6.957516193389893, -0.03316307067871094]), (-6.946767807006836, -3.473383903503418, [-6.935857772827148, -0.0109100341796875])]",109514298,bert-base-uncased
A horse is a,toy.,horse,toy,56,"[(-10.496431350708008, -5.248215675354004, [-10.431791305541992, -0.06464004516601562]), (-8.270743370056152, -4.135371685028076, [-8.250983238220215, -0.0197601318359375]), (-10.373979568481445, -5.186989784240723, [-10.345314025878906, -0.028665542602539062]), (-7.821655750274658, -3.910827875137329, [-7.738611698150635, -0.08304405212402344]), (-10.140946388244629, -5.0704731941223145, [-10.111599922180176, -0.029346466064453125])]",109514298,bert-base-uncased
A gun is a,toy.,gun,toy,57,"[(-7.53278112411499, -3.766390562057495, [-7.462518215179443, -0.07026290893554688]), (-8.3612642288208, -4.1806321144104, [-8.329047203063965, -0.03221702575683594]), (-5.60787296295166, -2.80393648147583, [-5.560870170593262, -0.04700279235839844]), (-7.981266021728516, -3.990633010864258, [-7.950075149536133, -0.031190872192382812]), (-9.046866416931152, -4.523433208465576, [-9.008503913879395, -0.03836250305175781])]",109514298,bert-base-uncased
Animals are,toys.,animals,toy,58,"[(-9.958741188049316, -4.979370594024658, [-9.87134075164795, -0.08740043640136719]), (-7.454625606536865, -3.7273128032684326, [-7.348510265350342, -0.10611534118652344]), (-7.621939659118652, -3.810969829559326, [-7.560442924499512, -0.061496734619140625]), (-8.081339836120605, -4.040669918060303, [-7.848235130310059, -0.23310470581054688]), (-9.740533828735352, -4.870266914367676, [-9.594629287719727, -0.145904541015625])]",109514298,bert-base-uncased
